,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2011-01-11 00:00:00,23:08:00,2011-01-11 00:00:00,23:08:00,"Athens, New York",NPCC,Electrical Fault at Generator,0,0
1,2011-01-12 00:00:00,06:00:00,2011-01-12 00:00:00,14:00:00,Massachusetts,NPCC,Winter Storm,,80000
2,2011-01-13 00:00:00,07:21:00,2011-01-13 00:00:00,08:13:00,North Florida,FRCC,Firm System Load Shed,150,20900
3,2011-01-18 00:00:00,14:00:00,2011-01-18 00:00:00,14:00:00,"Whitman, Auburn St Substation, Massachusetts",NPCC,Vandalism,0,0
4,2011-01-23 00:00:00,07:00:00,2011-01-23 00:00:00,13:00:00,"Franklin County, Idaho",WECC,Vandalism,0,0
5,2011-01-24 00:00:00,13:20:00,2011-01-24 00:00:00,13:30:00,"Newman Power Plant, Texas",WECC,Suspicious Activity,0,0
6,2011-01-25 00:00:00,03:23:00,2011-01-25 00:00:00,11:00:00,"Newark, Delaware",RFC,Vandalism,0,0
7,2011-01-26 00:00:00,09:25:00,2011-01-27 00:00:00,17:00:00,"Carson City, Nevada",WECC,Suspected Telecommunications Attack,0,0
8,2011-01-26 00:00:00,09:33:00,2011-01-27 00:00:00,15:03:00,Michigan,RFC,Vandalism,0,0
9,2011-01-26 00:00:00,17:00:00,2011-01-31 00:00:00,08:00:00,"Montgomery and Prince George's County, Maryland and District of Columbia",RFC,Winter Storm,,210000
10,2011-01-26 00:00:00,18:28:00,2011-01-29 00:00:00,17:00:00,Maryland,RFC,Winter Storm,,234326
11,2011-01-26 00:00:00,19:43:00,2011-01-27 00:00:00,18:18:00,Northern Virginia,SERC,Winter Storm,600,150084
12,2011-01-27 00:00:00,09:30:00,2011-01-27 00:00:00,09:30:00,"Hockessin, Delaware",RFC,Vandalism,0,0
13,2011-01-27 00:00:00,17:00:00,2011-01-30 00:00:00,05:00:00,Central New York,NPCC,Fuel Supply Deficiency (Coal),108,
14,2011-01-31 00:00:00,22:00:00,2011-02-03 00:00:00,12:00:00,Southwestern Ohio and Indiana,RFC,Ice Storm,996,272880
15,2011-02-01 00:00:00,15:00:00,2011-02-03 00:00:00,12:00:00,"Indiana, Ohio",RFC,Winter Storm,UNK,158013
16,2011-02-01 00:00:00,21:00:00,2011-02-02 00:00:00,14:00:00,Northern Illinois,RFC,Winter Storm,UNK,190000
17,2011-02-02 00:00:00,03:00:00,2011-02-04 00:00:00,23:59:00,"Philadelphia area, Pennsylvania",RFC,Winter Storm,UNK,213000
18,2011-02-02 00:00:00,05:43:00,2011-02-03 00:00:00,10:00:00,Texas,TRE,Generation Inadequacy/Load Shed,4000,1069730
19,2011-02-02 00:00:00,06:22:00,2011-02-02 00:00:00,09:57:00,Central Arizona,WECC,Generation Inadequacy/Load Shed,3963,69000
20,2011-02-02 00:00:00,07:24:00,2011-02-02 00:00:00,22:23:00,"Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico",WECC,Generation Inadequacy/Load Shed,280,178000
21,2011-02-02 00:00:00,17:00:00,2011-02-03 00:00:00,22:00:00,"Texas Panhandle, Southeastern New Mexico",SPP,Fuel Supply Deficiency (Natural Gas),UNK,UNK
22,2011-02-03 00:00:00,15:00:00,2011-02-04 00:00:00,12:00:00,"San Diego area, California",WECC,Fuel Supply Deficiency (Natural Gas),,UNK
23,2011-02-03 00:00:00,14:30:00,2011-02-03 00:00:00,14:30:00,"Bowie, Maryland",RFC,Suspected Cyber Attack,,0
24,2011-02-03 00:00:00,22:04:00,2011-02-04 00:00:00,12:32:00,Texas,TRE,Generation Inadequacy/Load Shed,400,86013
25,2011-02-09 00:00:00,03:45:00,2011-02-09 00:00:00,09:12:00,"Western Houston, Texas",TRE,Winter Storm,399,60000
26,2011-02-09 00:00:00,14:54:00,2011-02-09 00:00:00,17:00:00,"University Place, Washington",WECC,Vandalism,0,0
27,2011-02-09 00:00:00,16:30:00,2011-02-10 00:00:00,12:33:00,Texas,TRE,Cold Weather Event,,
28,2011-02-10 00:00:00,13:00:00,2011-02-10 00:00:00,13:00:00,"LaGrande, Washington",WECC,Vandalism,0,0
29,2011-02-17 00:00:00,01:25:00,2011-02-19 00:00:00,10:13:00,Northern and Central California,WECC,Major Storm,91,80000
30,2011-02-17 00:00:00,13:00:00,2011-02-23 00:00:00,16:53:00,"Roseville, California",WECC,Suspected Cyber Attack,0,0
31,2011-02-19 00:00:00,12:30:00,2011-02-20 00:00:00,04:00:00,"Philadelphia area, Pennsylvania",RFC,Major Storm,UNK,118000
32,2011-02-19 00:00:00,16:34:00,2011-02-19 00:00:00,16:34:00,"Harrington, Delaware",RFC,Vandalism,0,0
33,2011-02-20 00:00:00,16:00:00,2011-02-23 00:00:00,16:00:00,"Southern Lower Peninsula, Michigan",RFC,Winter Storm,262,160000
34,2011-02-24 00:00:00,16:51:00,2011-02-24 00:00:00,16:54:00,Arkansas,SPP,Electrical System Separation (Islanding),4,UNK
35,2011-02-25 00:00:00,15:20:00,2011-02-25 00:00:00,18:00:00,Virginia,SERC,Severe Weather,UNK,50000
36,2011-02-25 00:00:00,15:23:00,2011-02-27 00:00:00,18:00:00,Maryland,RFC,Severe Weather,UNK,93000
37,2011-02-25 00:00:00,08:00:00,2011-02-28 00:00:00,17:30:00,Northern and Central California,WECC,Winter Storm,91,80000
38,2011-02-25 00:00:00,10:30:00,2011-02-25 00:00:00,10:45:00,"Salt Lake City, Utah",WECC,Vandalism,0,0
39,2011-03-01 00:00:00,08:00:00,2011-03-05 00:00:00,09:30:00,Western New York,NPCC,Fuel Supply Deficiency (Coal),675,UNK
40,2011-03-06 00:00:00,02:54:00,2011-03-08 00:00:00,08:00:00,"Salt Lake City Region, Utah",WECC,Vandalism,UNK,0
41,2011-03-08 00:00:00,08:00:00,2001-03-18 00:00:00,09:00:00,Western New York,NPCC,Fuel Supply Deficiency (Coal),676,UNK
42,2011-03-10 00:00:00,12:03:00,2011-03-11 00:00:00,06:00:00,Texas,TRE,Suspected Physical Attack,,
43,2011-03-11 00:00:00,07:02:00,2011-03-11 00:00:00,09:15:00,"Humboldt and Eureka, California",WECC,Generation Inadequacy/Load Shed,15,6800
44,2011-03-13 00:00:00,14:20:00,2011-03-14 00:00:00,15:46:00,Oregon,WECC,Severe Weather,UNK,9000
45,2011-03-14 00:00:00,07:30:00,2011-03-14 00:00:00,16:55:00,"Baltimore, Maryland",RFC,Suspected Cyber Attack,,
46,2011-03-15 00:00:00,18:00:00,2011-03-15 00:00:00,19:14:00,"The Woodlands, Texas",TRE,Suspected Physical Attack,,
47,2011-03-17 00:00:00,07:40:00,2011-03-17 00:00:00,11:00:00,"Deerfield, New Hampshire",NPCC,Vandalism,,
48,2011-03-18 00:00:00,09:54:00,2011-03-18 00:00:00,15:34:00,"Greene County, Ohio",RFC,Vandalism,,
49,2011-03-19 00:00:00,23:56:00,2011-03-24 00:00:00,19:10:00,Northern and Central California,WECC,Major Storm,91,128000
50,2011-03-20 00:00:00,09:44:00,2011-03-21 00:00:00,10:00:00,"Los Angeles, California",WECC,Major Storm,UNK,79000
51,2011-03-21 00:00:00,12:35:00,2011-03-21 00:00:00,14:45:00,Southern California,WECC,Major Storm,150,54332
52,2011-03-21 00:00:00,00:57:00,2011-03-21 00:00:00,02:29:00,"Deerfield, New Hampshire",NPCC,Vandalism,,
53,2011-03-23 00:00:00,18:30:00,2011-03-24 00:00:00,04:55:00,"Indiana. Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia",RFC,Major Storm,UNK,60596
54,2011-03-27 00:00:00,13:27:00,2011-03-27 00:00:00,17:00:00,"Sonoma and Central Valley, California",WECC,Transmission Level Outage,295,165000
55,2011-03-31 00:00:00,14:30:00,2011-04-01 00:00:00,23:59:00,Central and Western Florida,FRCC,Severe Weather,UNK,50000
56,2011-03-31 00:00:00,11:30:00,2011-03-31 00:00:00,20:30:00,"Greater Tampa Bay, Florida",FRCC,Severe Weather,206,87000
57,2011-04-03 00:00:00,20:23:00,2011-04-05 00:00:00,15:00:00,Unknown,SERC,Suspected Cyber Attack,0,0
58,2011-04-04 00:00:00,11:47:00,2011-04-08 00:00:00,00:01:00,"Memphis, Tennessee",SERC,Severe Weather,359,63000
59,2011-04-04 00:00:00,13:00:00,2011-04-05 00:00:00,00:00:00,"Shelby County, Tennessee",SERC,Severe Weather,300,63000
60,2011-04-04 00:00:00,14:00:00,2011-04-08 00:00:00,00:01:00,"Davidson County, Tennessee",SERC,Severe Weather,300,73000
61,2011-04-04 00:00:00,19:00:00,2011-04-05 00:00:00,20:00:00,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",SERC,Severe Weather,UNK,74645
62,2011-04-04 00:00:00,19:00:00,2011-04-05 00:00:00,12:00:00,"Kentucky, West Virginia",RFC,Severe Weather,UNK,52920
63,2011-04-04 00:00:00,21:00:00,2011-04-05 00:00:00,23:30:00,"Alabama, Florida, Georgia, Mississippi",SERC,Severe Weather,674,303434
64,2011-04-05 00:00:00,02:00:00,2011-04-07 00:00:00,23:00:00,"North Carolina, South Carolina",SERC,Severe Weather,1200,256000
65,2011-04-06 00:00:00,10:50:00,2011-04-06 00:00:00,10:50:00,"Felton, Delaware",RFC,Vandalism,0,0
66,2011-04-11 00:00:00,17:40:00,2011-04-11 00:00:00,17:51:00,"Salt Lake City, Utah",WECC,Suspicious Activity,0,0
67,2011-04-16 00:00:00,14:16:00,2011-04-17 00:00:00,16:30:00,Central and Eastern North Carolina,SERC,Severe Weather,UNK,220000
68,2011-04-19 00:00:00,20:00:00,2011-04-19 00:00:00,22:00:00,Illinois,SERC,Severe Weather,UNK,80000
69,2011-04-19 00:00:00,14:01:00,2011-04-19 00:00:00,16:04:00,"Graham, Washington",WECC,Vandalism,0,0
70,2011-04-19 00:00:00,22:44:00,2011-04-20 00:00:00,02:00:00,"Memphis, Tennessee",SERC,Severe Weather,100,64000
71,2011-04-19 00:00:00,23:02:00,2011-04-21 00:00:00,17:32:00,"Memphis, Tennessee",SERC,Severe Weather,300,105000
72,2011-04-19 00:00:00,23:13:00,2011-04-20 00:00:00,19:14:00,"Osceola, Arkansas",SERC,Severe Weather,22,UNK
73,2011-04-20 00:00:00,02:00:00,2011-04-21 00:00:00,12:00:00,"Indiana, Kentucky, Ohio",RFC,Severe Weather - High Winds,UNK,165711
74,2011-04-20 00:00:00,08:07:00,2011-04-20 00:00:00,08:14:00,"Ruston, Louisiana",SERC,Equipment Malfunction,33,11000
75,2011-04-21 00:00:00,07:15:00,2011-04-21 00:00:00,16:50:00,"Oquirrh Substation, Salt Lake City, Utah",WECC,Vandalism,0,0
76,2011-04-21 00:00:00,19:00:00,2011-04-29 00:00:00,19:05:00,"Trenton, Michigan",RFC,Suspicious Activity,UNK,UNK
77,2011-04-22 00:00:00,21:00:00,2011-04-22 00:00:00,23:00:00,"Metro St. Louis area, Missouri",SERC,Severe Weather,0,55000
78,2011-04-25 00:00:00,16:33:00,2011-04-25 00:00:00,17:19:00,Northeast Tennessee,SERC,Equipment Malfunction,140,UNK
79,2011-04-25 00:00:00,17:30:00,2011-04-27 00:00:00,18:00:00,"Arkansas, Louisiana, Mississippi",SPP,Severe Weather,UNK,141700
80,2011-04-26 00:00:00,05:49:00,2011-04-27 00:00:00,09:59:00,Southern Louisiana,SPP,Severe Weather,120,UNK
81,2011-04-26 00:00:00,09:51:00,2011-04-28 00:00:00,09:51:00,"Alabama, Georgia, Mississippi, Tennessee",SERC,Severe Weather,UNK,55000
82,2011-04-26 00:00:00,13:04:00,2011-04-26 00:00:00,14:00:00,"Salt Lake City, Utah",WECC,Vandalism,0,0
83,2011-04-26 00:00:00,18:14:00,2011-04-28 00:00:00,17:00:00,Eastern Arkansas,SPP,Severe Weather,50,13000
84,2011-04-27 00:00:00,08:00:00,2011-05-02 00:00:00,16:03:00,"Alabama, Florida, Georgia, Mississippi",SERC,Severe Weather,1422,426640
85,2011-04-27 00:00:00,10:00:00,2011-04-29 00:00:00,16:29:00,"Alabama, Georgia, Mississippi, Tennessee",SERC,Severe Weather,UNK,612000
86,2011-04-27 00:00:00,22:00:00,2011-04-28 00:00:00,10:00:00,"Ohio, Tennessee, Virginia",SERC,Severe Weather,0,69000
87,2011-04-28 00:00:00,05:00:00,2011-04-30 00:00:00,18:30:00,"Cleveland area, Ohio",RFC,Severe Weather,UNK,86000
88,2011-04-28 00:00:00,16:09:00,2011-04-28 00:00:00,16:10:00,"Phoenix, Arizona",WECC,Equipment Malfunction,960,UNK
89,2011-05-02 00:00:00,17:06:00,2011-05-02 00:00:00,20:00:00,Hawaii,,Severe Weather,220,62000
90,2011-05-02 00:00:00,14:00:00,2011-05-02 00:00:00,14:00:00,"West River Substation, New Haven, Connecticut",NPCC,Suspected Physical Attack,0,0
91,2011-05-02 00:00:00,08:52:00,2011-05-02 00:00:00,10:46:00,"N. Ogden Substation, Ogden, Utah",WECC,Vandalism,0,0
92,2011-05-03 00:00:00,12:00:00,2011-05-05 00:00:00,12:00:00,"St. Lawrence Power Dam, New York",NPCC,Suspected Physical Attack,0,0
93,2011-05-04 00:00:00,13:08:00,2011-05-04 00:00:00,13:25:00,Maryland,RFC,Suspected Physical Attack,0,0
94,2011-05-04 00:00:00,12:20:00,2011-05-04 00:00:00,15:40:00,Michigan,RFC,Suspected Sabotage,0,0
95,2011-05-05 00:00:00,09:15:00,2011-05-05 00:00:00,09:15:00,New Hampshire,NPCC,Vandalism,0,0
96,2011-05-06 00:00:00,06:56:00,2011-05-06 00:00:00,10:30:00,"Alderwood Substation, Portland, Oregon",WECC,Vandalism,0,0
97,2011-05-08 00:00:00,19:35:00,2011-05-08 00:00:00,19:35:00,New York,NPCC,Vandalism,UNK,0
98,2011-05-09 00:00:00,13:11:00,2011-05-09 00:00:00,13:11:00,"Milton, New Hampshire",NPCC,Vandalism,0,0
99,2011-05-09 00:00:00,04:08:00,2011-05-09 00:00:00,06:40:00,"Holtwood, Pennsylvania",RFC,Suspected Physical Attack,630,UNK
100,2011-05-10 00:00:00,22:21:00,2011-05-11 00:00:00,14:25:00,"Kentucky, West Virginia",RFC,Severe Weather,UNK,58000
101,2011-05-10 00:00:00,13:45:00,2011-05-10 00:00:00,15:00:00,New Hampshire,NPCC,Vandalism,0,0
102,2011-05-10 00:00:00,03:25:00,2011-05-11 00:00:00,14:10:00,"Upper Peninsula, Michigan",RFC,Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),585,78213
103,2011-05-11 00:00:00,15:55:00,2011-05-12 00:00:00,13:57:00,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,Vandalism,0,0
104,2011-05-11 00:00:00,13:35:00,2011-05-11 00:00:00,13:35:00,"Green River, Wyoming",WECC,Vandalism,0,0
105,2011-05-11 00:00:00,11:00:00,2011-05-11 00:00:00,11:30:00,"North Chelsea Substation, New York",NPCC,Vandalism,0,0
106,2011-05-11 00:00:00,00:15:00,2011-05-11 00:00:00,17:20:00,"Charlotte, North Carolina",SERC,Severe Weather,300,71000
107,2011-05-13 00:00:00,06:00:00,2011-05-13 00:00:00,06:00:00,"Salt Lake, Utah",WECC,Vandalism,0,0
108,2011-05-21 00:00:00,17:00:00,2011-05-22 00:00:00,18:34:00,"Dixie Valley Area, Nevada",WECC,Physical Attack,56,UNK
109,2011-05-22 00:00:00,17:09:00,2011-05-31 00:00:00,12:01:00,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,Severe Weather,200,20000
110,2011-05-23 00:00:00,16:45:00,2011-05-25 00:00:00,23:59:00,"Central, Indiana",RFC,Severe Weather,1024,215387
111,2011-05-23 00:00:00,12:30:00,2011-05-25 00:00:00,12:30:00,"St. Louis County, Missouri",SERC,Severe Weather,UNK,70000
112,2011-05-24 00:00:00,16:45:00,2011-05-26 00:00:00,17:00:00,Central Oklahoma,SPP,Severe Weather,UNK,54000
