,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2014-01-06 00:00:00,19:50:00,2014-01-06 00:00:00,20:44:00,District of Columbia,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
1,2014-01-06 00:00:00,19:50:00,2014-01-06 00:00:00,20:44:00,Unknown,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2,2014-01-06 00:00:00,19:52:00,2014-01-06 00:00:00,20:45:00,Delaware,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
3,2014-01-06 00:00:00,20:45:00,2014-01-07 00:00:00,21:00:00,Unknown,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
4,2014-01-06 00:00:00,19:50:00,2014-01-06 00:00:00,20:49:00,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,200,62000
5,2014-01-06 00:00:00,19:50:00,2014-01-06 00:00:00,20:44:00,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
6,2014-01-06 00:00:00,14:37:00,2014-01-06 00:00:00,14:38:00,Utah,RFC,Vandalism,,
7,2014-01-06 00:00:00,22:00:00,2014-01-06 00:00:00,22:01:00,Kentucky,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
8,2014-01-06 00:00:00,07:01:00,2014-01-07 00:00:00,09:00:00,Texas,TRE,Public Appeal due to Severe Weather - Cold,,
9,2014-01-07 00:00:00,21:00:00,2014-01-08 00:00:00,09:00:00,Unknown,RFC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
10,2014-01-07 00:00:00,06:18:00,2014-01-07 00:00:00,06:19:00,Pennsylvania,RFC,Severe Weather - Cold,Unknown,Unknown
11,2014-01-07 00:00:00,07:58:00,2014-01-07 00:00:00,11:00:00,North Carolina,SERC,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,Unknown
12,2014-01-07 00:00:00,16:15:00,2014-01-08 00:00:00,13:20:00,North Carolina,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
13,2014-01-07 00:00:00,06:00:00,2014-01-07 00:00:00,08:30:00,Northeast Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
14,2014-01-07 00:00:00,06:00:00,2014-01-07 00:00:00,08:30:00,Tennessee,SERC,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
15,2014-01-07 00:00:00,18:00:00,2014-01-07 00:00:00,23:00:00,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4853,677858
