,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
1408,2013-07-23 00:00:00,SPP,Oklahoma,Thunderstorms,500.0,92748.0,2013-07-25 00:00:00
1409,2013-07-25 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,2013-07-25 00:00:00
1413,2013-08-04 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2013-08-04 00:00:00
1415,2013-08-06 00:00:00,WECC,New Mexico,Vandalism,183.91140499265592,11874.25,2013-08-06 00:00:00
1417,2013-08-07 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2013-08-08 00:00:00
1418,2013-08-07 00:00:00,MRO,Wisconsin,Thunderstorms,220.0,51160.0,2013-08-07 00:00:00
1419,2013-08-12 00:00:00,WECC,Oregon,Suspicious Activity,17.359215826019042,4712.045454545455,2013-08-12 00:00:00
1420,2013-08-16 00:00:00,TRE,Texas,Thunderstorms,227.61758764334965,219681.0,2013-08-17 00:00:00
1424,2013-08-22 00:00:00,RFC,Delaware,Vandalism,452.92680391452575,6973.684210526316,2013-08-22 00:00:00
1425,2013-08-23 00:00:00,RFC,Delaware,Vandalism,455.2334210936632,6973.684210526316,2013-08-23 00:00:00
1426,2013-08-26 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,2013-08-26 00:00:00
1427,2013-08-28 00:00:00,WECC,Wyoming,Vandalism,112.9106963937456,95820.52035109782,2013-08-28 00:00:00
1429,2013-08-29 00:00:00,WECC,Missouri,Vandalism,558.4596077024479,95928.66992260018,2013-08-29 00:00:00
1430,2013-08-30 00:00:00,RFC,Illinois,Thunderstorms,35.94266045040961,157000.0,2013-08-31 00:00:00
1432,2013-09-11 00:00:00,RFC,Michigan,Thunderstorms,400.0,75000.0,2013-09-15 00:00:00
1434,2013-10-06 00:00:00,SPP,Arkansas,Physical Attack,12.615873818093775,9200.0,2013-10-06 00:00:00
1435,2013-10-11 00:00:00,SERC,Arkansas,Physical Attack,47.25946382651001,27725.25,2013-10-11 00:00:00
1437,2013-10-19 00:00:00,WECC,California,Physical Attack,492.8332770163392,58512.31137724551,2013-10-19 00:00:00
1439,2013-10-26 00:00:00,WECC,Arizona,Suspected Physical Attack,140.56575457814358,11390.25,2013-10-26 00:00:00
1441,2013-11-01 00:00:00,RFC,Delaware,Vandalism,457.73483010253415,6973.684210526316,2013-11-01 00:00:00
1442,2013-11-02 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2013-11-02 00:00:00
1445,2013-11-05 00:00:00,RFC,Indiana,Physical Attack,122.62095345946172,56684.03571428572,2013-11-07 00:00:00
1446,2013-11-12 00:00:00,WECC,California,Electrical System Separation (Islanding),55.0,48400.0,2013-11-12 00:00:00
1448,2013-11-16 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2013-11-16 00:00:00
1452,2013-11-17 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,50000.0,2013-11-21 00:00:00
1454,2013-11-17 00:00:00,RFC,Indiana,Thunderstorms,122.62095345946172,75065.0,2013-11-20 00:00:00
1455,2013-11-17 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,77346.0,2013-11-18 00:00:00
1456,2013-11-17 00:00:00,RFC,Illinois,Thunderstorms,35.94266045040961,190000.0,2013-11-17 00:00:00
1457,2013-11-17 00:00:00,RFC,Indiana,Thunderstorms,122.62095345946172,61705.0,2013-11-20 00:00:00
1458,2013-11-20 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2013-11-20 00:00:00
1460,2013-11-24 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2013-11-24 00:00:00
1465,2013-12-10 00:00:00,WECC,Arizona,Suspected Physical Attack,140.56575457814358,11390.25,2013-12-11 00:00:00
1472,2013-12-27 00:00:00,WECC,Arizona,Physical Attack,140.56575457814358,11390.25,2013-12-27 00:00:00
1473,2013-12-30 00:00:00,WECC,Utah,Physical Attack,131.05445040885473,9238.970149253732,2013-12-30 00:00:00
1474,2013-12-30 00:00:00,WECC,Arizona,Physical Attack,140.56575457814358,11390.25,2014-01-01 00:00:00
1481,2014-01-06 00:00:00,RFC,Utah,Vandalism,466.0925026773885,152405.3835874048,2014-01-06 00:00:00
1482,2014-01-06 00:00:00,RFC,Kentucky,Severe Weather,34.01613385026766,96500.0,2014-01-06 00:00:00
1483,2014-01-06 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,75034.07073954983,2014-01-07 00:00:00
1487,2014-01-07 00:00:00,SERC,North Carolina,Severe Weather,294.72639258283976,75850.97619047618,2014-01-08 00:00:00
1488,2014-01-07 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,49784.83870967742,2014-01-07 00:00:00
1489,2014-01-07 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,49784.83870967742,2014-01-07 00:00:00
1495,2014-01-13 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,2014-01-13 00:00:00
1496,2014-01-15 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2014-01-15 00:00:00
1497,2014-01-16 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,2014-01-16 00:00:00
1498,2014-01-17 00:00:00,RFC,Ohio,Suspected Physical Attack,358.3345594163688,205199.87234042553,2014-01-17 00:00:00
1501,2014-01-18 00:00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,227.61758764334965,75034.07073954983,2014-01-18 00:00:00
1502,2014-01-21 00:00:00,RFC,New Jersey,Vandalism,86.11861443918144,139243.76923076922,Unknown
1503,2014-01-21 00:00:00,SERC,Missouri,Vandalism,10.0,36113.92682926829,2014-01-21 00:00:00
1504,2014-01-22 00:00:00,MRO,Wisconsin,Vandalism,81.56188381985727,27010.277777777777,2014-01-22 00:00:00
1505,2014-01-22 00:00:00,RFC,Ohio,Vandalism,358.3345594163688,205199.87234042553,2014-01-22 00:00:00
1506,2014-01-22 00:00:00,RFC,New Jersey,Suspected Physical Attack,86.11861443918144,139243.76923076922,2014-01-23 00:00:00
1507,2014-01-22 00:00:00,MRO,Wisconsin,Vandalism,81.56188381985727,27010.277777777777,2014-01-22 00:00:00
1508,2014-01-23 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,49784.83870967742,2014-01-24 00:00:00
1509,2014-01-23 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,2014-01-24 00:00:00
1510,2014-01-23 00:00:00,RFC,Maryland,Severe Weather,306.0621371704791,91609.6888888889,2014-01-24 00:00:00
1511,2014-01-23 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,49784.83870967742,2014-01-24 00:00:00
1512,2014-01-24 00:00:00,RFC,Wisconsin,Fuel Supply Emergency - Coal,474.7250101254201,152820.6571121661,2014-04-09 00:00:00
1513,2014-01-24 00:00:00,MRO,Wisconsin,Vandalism,81.56188381985727,27010.277777777777,2014-01-24 00:00:00
1514,2014-01-25 00:00:00,MRO,Wisconsin,Vandalism,81.56188381985727,27010.277777777777,2014-01-25 00:00:00
1515,2014-01-26 00:00:00,RFC,New Jersey,Physical Attack,86.11861443918144,139243.76923076922,Unknown
1516,2014-01-26 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2014-01-27 00:00:00
1517,2014-01-27 00:00:00,RFC,Maryland,Severe Weather,306.0621371704791,91609.6888888889,2014-01-28 00:00:00
1519,2014-01-30 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,Unknown
1523,2014-02-05 00:00:00,NPCC,New York,Fuel Supply Emergency - Coal,300.0,54921.72173913044,2014-02-23 00:00:00
1528,2014-02-06 00:00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,227.61758764334965,75034.07073954983,2014-02-06 00:00:00
1530,2014-02-06 00:00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,227.61758764334965,75034.07073954983,2014-02-07 00:00:00
1531,2014-02-07 00:00:00,NPCC,New York,Fuel Supply Emergency - Coal,675.0,54921.72173913044,2014-03-21 00:00:00
1532,2014-02-07 00:00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,227.61758764334965,75034.07073954983,2014-02-08 00:00:00
1533,2014-02-07 00:00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,227.61758764334965,75034.07073954983,2014-02-07 00:00:00
1537,2014-02-12 00:00:00,NPCC,Vermont,Vandalism,72.8917153934307,91694.48333333334,2014-02-12 00:00:00
1538,2014-02-14 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2014-02-14 00:00:00
1539,2014-02-18 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2014-02-18 00:00:00
1542,2014-03-02 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,75034.07073954983,2014-03-04 00:00:00
1543,2014-03-03 00:00:00,NPCC,New York,Suspected Physical Attack,218.33384717844993,54921.72173913044,2014-03-03 00:00:00
1544,2014-03-03 00:00:00,SERC,Tennessee,Winter Storm,251.62413084738048,65904.0,2014-03-03 00:00:00
1546,2014-03-04 00:00:00,MRO,Wisconsin,Fuel Supply Emergency - Coal,81.56188381985727,27010.277777777777,2014-03-17 00:00:00
1547,2014-03-05 00:00:00,WECC,Utah,Physical Attack,131.05445040885473,9238.970149253732,2014-03-05 00:00:00
1548,2014-03-07 00:00:00,SERC,North Carolina,Winter Storm,1500.0,370900.0,2014-03-07 00:00:00
1549,2014-03-11 00:00:00,MRO,Iowa,Suspected Physical Attack,418.07604069405204,49007.75,2014-03-13 00:00:00
1551,2014-03-14 00:00:00,MRO,Iowa,Vandalism,418.07604069405204,49007.75,2014-03-14 00:00:00
1553,2014-03-20 00:00:00,NPCC,New York,Suspected Cyber Attack,218.33384717844993,54921.72173913044,2014-03-20 00:00:00
1554,2014-03-24 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2014-03-24 00:00:00
1555,2014-03-26 00:00:00,MRO,Iowa,Physical Attack,418.07604069405204,49007.75,2014-04-10 00:00:00
1556,2014-03-26 00:00:00,WECC,Montana,Electrical System Separation (Islanding),14.01763757565975,96036.94155908168,2014-03-26 00:00:00
1558,2014-04-03 00:00:00,TRE,Texas,Fuel Supply Emergency - Coal,227.61758764334965,75034.07073954983,Unknown
1559,2014-04-03 00:00:00,MRO,Wisconsin,Fuel Supply Emergency - Coal,81.56188381985727,27010.277777777777,2014-04-09 00:00:00
1561,2014-04-08 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,2014-04-08 00:00:00
1562,2014-04-08 00:00:00,WECC,Puerto Rico,Voltage Reduction,730.7861722777283,168908.5,2014-04-08 00:00:00
1563,2014-04-12 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,50000.0,2014-04-14 00:00:00
1564,2014-04-12 00:00:00,RFC,Michigan,Severe Weather,389.7851298816305,164000.0,2014-04-15 00:00:00
1566,2014-04-24 00:00:00,WECC,"Alberta, Canada",Electrical System Separation (Islanding),1891.4465635423555,400000.0,2014-04-24 00:00:00
1567,2014-04-25 00:00:00,RFC,Delaware,Vandalism,483.11000709049847,6973.684210526316,2014-04-25 00:00:00
1568,2014-04-27 00:00:00,WECC,"Alberta, Canada",Electrical System Separation (Islanding),9750.0,4000000.0,Unknown
1569,2014-04-27 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2014-04-27 00:00:00
1570,2014-04-29 00:00:00,SERC,Mississippi,Thunderstorms,355.0,106648.0,2014-04-29 00:00:00
1571,2014-04-29 00:00:00,SERC,Mississippi,Thunderstorms,453.3753940828816,57000.0,2014-05-01 00:00:00
1572,2014-04-30 00:00:00,SERC,Georgia,Thunderstorms,296.0,89000.0,2014-04-30 00:00:00
1573,2014-05-08 00:00:00,WECC,California,Physical Attack,492.8332770163392,58512.31137724551,2014-05-08 00:00:00
1574,2014-05-08 00:00:00,SERC,Mississippi,Physical Attack,453.3753940828816,75101.94444444444,2014-05-08 00:00:00
1576,2014-05-11 00:00:00,MRO,Minnesota,Vandalism,193.87276762299862,26829.72972972973,2014-05-11 00:00:00
1577,2014-05-12 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2014-05-12 00:00:00
1580,2014-05-15 00:00:00,RFC,Indiana,Suspected Physical Attack,122.62095345946172,56684.03571428572,2014-05-15 00:00:00
1582,2014-05-20 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2014-05-20 00:00:00
1583,2014-05-23 00:00:00,SERC,North Carolina,Vandalism,294.72639258283976,75850.97619047618,2014-05-25 00:00:00
1585,2014-05-27 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,2014-05-27 00:00:00
1586,2014-06-03 00:00:00,ERCOT,Texas,Vandalism,86.90935296909045,61308.333333333336,2014-06-03 00:00:00
1588,2014-06-05 00:00:00,SERC,Tennessee,Thunderstorms,494.0,38500.0,2014-06-07 00:00:00
1589,2014-06-06 00:00:00,ERCOT,Texas,Fuel Supply Emergency - Coal,86.90935296909045,61308.333333333336,Unknown
1590,2014-06-05 00:00:00,SERC,Tennessee,Thunderstorms,251.62413084738048,56475.0,2014-06-05 00:00:00
1591,2014-06-07 00:00:00,SERC,Alabama,Thunderstorms,217.0,65000.0,2014-06-08 00:00:00
1593,2014-06-11 00:00:00,WECC,Arizona,Suspected Physical Attack,140.56575457814358,11390.25,2014-06-11 00:00:00
1594,2014-06-10 00:00:00,RFC,West Virginia,Thunderstorms,142.51264868587413,66383.0,2014-06-11 00:00:00
1595,2014-06-11 00:00:00,SERC,Mississippi,Vandalism,453.3753940828816,75101.94444444444,2014-06-11 00:00:00
1596,2014-06-12 00:00:00,ERCOT,Texas,Suspected Physical Attack,86.90935296909045,61308.333333333336,2014-06-12 00:00:00
1597,2014-06-15 00:00:00,MRO,Minnesota,Thunderstorms,193.87276762299862,55951.0,2014-06-15 00:00:00
1598,2014-06-18 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,2014-06-18 00:00:00
1599,2014-06-18 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,138802.0,2014-06-20 00:00:00
1600,2014-06-19 00:00:00,SERC,Tennessee,Vandalism,251.62413084738048,49784.83870967742,2014-06-19 00:00:00
1601,2014-06-24 00:00:00,SERC,Tennessee,Vandalism,251.62413084738048,49784.83870967742,2014-06-24 00:00:00
1602,2014-06-27 00:00:00,MRO,Wisconsin,Fuel Supply Emergency - Coal,81.56188381985727,27010.277777777777,Unknown
1603,2014-06-30 00:00:00,MRO,Wisconsin,Thunderstorms,424.0,120000.0,2014-07-01 00:00:00
1604,2014-06-30 00:00:00,RFC,Illinois,Thunderstorms,35.94266045040961,420000.0,2014-07-02 00:00:00
1605,2014-06-30 00:00:00,RFC,Indiana,Thunderstorms,122.62095345946172,127000.0,2014-07-01 00:00:00
1606,2014-07-01 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,57237.0,2014-07-02 00:00:00
1607,2014-07-02 00:00:00,MRO,Wisconsin,Fuel Supply Emergency - Coal,81.56188381985727,27010.277777777777,2014-07-28 00:00:00
1608,2014-07-01 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,51000.0,Unknown
1609,2014-07-01 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,140000.0,2014-07-03 00:00:00
1610,2014-07-03 00:00:00,RFC,Pennsylvania,Thunderstorms,118.61746649294714,298165.0,2014-07-06 00:00:00
1611,2014-07-03 00:00:00,NPCC,Vermont,Thunderstorms,72.8917153934307,64000.0,2014-07-04 00:00:00
1612,2014-07-08 00:00:00,RFC,Pennsylvania,Thunderstorms,118.61746649294714,260000.0,2014-07-11 00:00:00
1613,2014-07-08 00:00:00,RFC,Maryland,Thunderstorms,306.0621371704791,56600.0,Unknown
1614,2014-07-08 00:00:00,RFC,Pennsylvania,Thunderstorms,118.61746649294714,69000.0,2014-07-11 00:00:00
1615,2014-07-08 00:00:00,RFC,West Virginia,Thunderstorms,142.51264868587413,96000.0,2014-07-12 00:00:00
1616,2014-07-08 00:00:00,RFC,West Virginia,Thunderstorms,142.51264868587413,71000.0,2014-07-12 00:00:00
1617,2014-07-08 00:00:00,NPCC,New York,Thunderstorms,218.33384717844993,65000.0,2014-07-11 00:00:00
1618,2014-07-08 00:00:00,RFC,Pennsylvania,Thunderstorms,118.61746649294714,66000.0,2014-07-10 00:00:00
1619,2014-07-14 00:00:00,WECC,Washington,Suspected Physical Attack,271.4139681316148,55748.43961352657,2014-07-14 00:00:00
1620,2014-07-23 00:00:00,SERC,Louisiana,Thunderstorms,120.93986388353828,57299.0,2014-07-24 00:00:00
1622,2014-07-27 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,156611.0,2014-07-28 00:00:00
1624,2014-08-01 00:00:00,WECC,Utah,Physical Attack,131.05445040885473,9238.970149253732,2014-08-01 00:00:00
1625,2014-08-13 00:00:00,WECC,"Alberta, Canada",Electrical System Separation (Islanding),370.0,400000.0,2014-08-13 00:00:00
1626,2014-08-20 00:00:00,WECC,"Alberta, Canada",Electrical System Separation (Islanding),1891.4465635423555,400000.0,2014-08-20 00:00:00
1629,2014-08-26 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,120571.08695652174,Unknown
1630,2014-08-27 00:00:00,RFC,Delaware,Suspected Physical Attack,505.0649902542127,6973.684210526316,2014-08-27 00:00:00
1631,2014-08-30 00:00:00,RFC,Pennsylvania,Suspected Physical Attack,118.61746649294714,148308.13953488372,2014-09-01 00:00:00
1632,2014-09-05 00:00:00,RFC,Michigan,Thunderstorms,389.7851298816305,324000.0,Unknown
1633,2014-09-05 00:00:00,RFC,Illinois,Thunderstorms,35.94266045040961,180400.0,2014-09-06 00:00:00
1634,2014-09-05 00:00:00,RFC,Michigan,Thunderstorms,50.0,60000.0,2014-09-06 00:00:00
1635,2014-09-09 00:00:00,WECC,"Alberta, Canada",Electrical System Separation (Islanding),1891.4465635423555,400000.0,2014-09-09 00:00:00
1636,2014-09-11 00:00:00,WECC,"Alberta, Canada",Electrical System Separation (Islanding),1891.4465635423555,400000.0,2014-09-11 00:00:00
1637,2014-09-14 00:00:00,WECC,Oregon,Electrical System Separation (Islanding),1.0,123.0,2014-09-17 00:00:00
1638,2014-09-16 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,2014-09-16 00:00:00
1640,2014-09-19 00:00:00,WECC,Oregon,Electrical System Separation (Islanding),1.0,123.0,2014-09-23 00:00:00
1641,2014-09-22 00:00:00,MRO,Minnesota,Fuel Supply Emergency - Coal,1000.0,140000.0,2014-09-22 00:00:00
1644,2014-09-24 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,2014-09-24 00:00:00
1645,2014-10-02 00:00:00,WECC,Oregon,Suspected Physical Attack,17.359215826019042,4712.045454545455,2014-10-02 00:00:00
1646,2014-10-02 00:00:00,SERC,Arkansas,Thunderstorms,47.25946382651001,67300.0,Unknown
1647,2014-10-02 00:00:00,TRE,Texas,Thunderstorms,227.61758764334965,500000.0,2014-10-07 00:00:00
1648,2014-10-06 00:00:00,TRE,Texas,Thunderstorms,292.0,129237.0,2014-10-07 00:00:00
1649,2014-10-07 00:00:00,RFC,Maryland,Suspected Physical Attack,306.0621371704791,91609.6888888889,2014-10-07 00:00:00
1652,2014-10-09 00:00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,227.61758764334965,2800.0,Unknown
1653,2014-10-13 00:00:00,SERC,Louisiana,Thunderstorms,120.93986388353828,68600.0,2014-10-13 00:00:00
1654,2014-10-14 00:00:00,WECC,Oregon,Suspected Physical Attack,17.359215826019042,4712.045454545455,2014-10-14 00:00:00
1655,2014-10-14 00:00:00,WECC,Puerto Rico,Voltage Reduction,730.7861722777283,168908.5,2014-10-14 00:00:00
1656,2014-10-14 00:00:00,SERC,Georgia,Thunderstorms,191.0,57475.0,2014-10-14 00:00:00
1657,2014-10-15 00:00:00,WECC,Oregon,Suspected Physical Attack,17.359215826019042,4712.045454545455,2014-10-15 00:00:00
1658,2014-10-16 00:00:00,MRO,Kansas,Suspected Physical Attack,137.84010282732086,34850.0,2014-10-17 00:00:00
1660,2014-10-20 00:00:00,MRO,Texas,Suspected Physical Attack,1401.7637575659749,46765.96702339022,Unknown
1661,2014-10-21 00:00:00,MRO,Indiana,Suspected Cyber Attack,243.3223347679066,47017.3969536235,2014-10-21 00:00:00
1662,2014-10-22 00:00:00,NPCC,Vermont,Severe Weather,72.8917153934307,66650.0,2014-10-22 00:00:00
1663,2014-10-24 00:00:00,NPCC,Connecticut,Suspected Physical Attack,164.17966510376536,37672.75,2014-10-25 00:00:00
1664,2014-10-24 00:00:00,MRO,Texas,Suspected Physical Attack,1401.7637575659749,47270.17865767524,2014-10-24 00:00:00
1667,2014-11-01 00:00:00,WECC,Oregon,Suspected Physical Attack,17.359215826019042,4712.045454545455,2014-11-01 00:00:00
1668,2014-11-02 00:00:00,NPCC,Vermont,Winter Storm,72.8917153934307,63719.0,Unknown
1671,2014-11-13 00:00:00,MRO,Texas,Suspected Physical Attack,1401.7637575659749,47524.31940314663,2014-11-13 00:00:00
1673,2014-11-19 00:00:00,WECC,California,Suspected Physical Attack,492.8332770163392,58512.31137724551,2014-11-19 00:00:00
1674,2014-11-21 00:00:00,WECC,Idaho,Suspected Physical Attack,68.50671081848073,1736.423076923077,2014-11-23 00:00:00
1675,2014-11-21 00:00:00,WECC,Oregon,Suspected Physical Attack,17.359215826019042,4712.045454545455,2014-11-23 00:00:00
1676,2014-11-24 00:00:00,SPP,Texas,Fuel Supply Emergency - Coal,16.8211650907917,45966.53846153846,Unknown
1678,2014-11-26 00:00:00,NPCC,Vermont,Winter Storm,72.8917153934307,79530.0,2014-11-28 00:00:00
1679,2014-12-01 00:00:00,SERC,North Carolina,Suspected Physical Attack,294.72639258283976,75850.97619047618,2014-12-01 00:00:00
1680,2014-12-03 00:00:00,NPCC,Maine,Suspected Physical Attack,5.698226656772256,16419.975609756097,2014-12-03 00:00:00
1686,2014-12-17 00:00:00,WECC,Washington,Suspected Physical Attack,271.4139681316148,55748.43961352657,2014-12-17 00:00:00
1687,2014-12-30 00:00:00,NPCC,Vermont,Suspected Cyber Attack,72.8917153934307,91694.48333333334,2014-12-31 00:00:00
1689,2015-01-07 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,49784.83870967742,2015-01-08 00:00:00
1690,2015-01-07 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,123193.76595744681,2015-01-08 00:00:00
1691,2015-01-22 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2015-01-22 00:00:00
1692,2015-01-26 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,2015-01-26 00:00:00
1693,2015-01-27 00:00:00,SERC,Texas,Sabotage,2963.668405011457,73692.63636363637,2015-01-27 00:00:00
1694,2015-02-01 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2015-02-01 00:00:00
1695,2015-02-02 00:00:00,TRE,Texas,Sabotage,227.61758764334965,75034.07073954983,2015-02-02 00:00:00
1696,2015-02-04 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,2015-02-04 00:00:00
1697,2015-02-05 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,2015-02-05 00:00:00
1698,2015-02-05 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,2015-02-05 00:00:00
1700,2015-02-09 00:00:00,WECC,Colorado,Sabotage,19.38439024748377,9019.057142857142,2015-02-09 00:00:00
1701,2015-02-16 00:00:00,SERC,Georgia,Severe Weather,620.0,186035.0,2015-02-18 00:00:00
1702,2015-02-16 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,67189.0,2015-02-18 00:00:00
1703,2015-02-17 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,52000.0,2015-02-18 00:00:00
1704,2015-02-17 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,68000.0,2015-02-18 00:00:00
1705,2015-02-17 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,2015-02-17 00:00:00
1706,2015-02-18 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,123193.76595744681,2015-02-20 00:00:00
1707,2015-02-19 00:00:00,WECC,Arizona,Vandalism,140.56575457814358,11390.25,2015-02-19 00:00:00
1708,2015-02-20 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,130797.42028985507,2015-02-20 00:00:00
1709,2015-02-21 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,50000.0,2015-02-21 00:00:00
1710,2015-02-26 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,124000.0,2015-02-26 00:00:00
1711,2015-02-26 00:00:00,SERC,North Carolina,Severe Weather,400.0,103776.0,2015-02-27 00:00:00
1712,2015-03-04 00:00:00,SERC,Tennessee,Vandalism,251.62413084738048,49784.83870967742,2015-03-04 00:00:00
1713,2015-03-09 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,2015-03-10 00:00:00
1715,2015-03-16 00:00:00,MRO,Minnesota,Sabotage,20.0,5941.0,2015-03-16 00:00:00
1716,2015-03-19 00:00:00,SPP,Kansas,Vandalism,175.22046969574686,82625.0,2015-03-19 00:00:00
1717,2015-03-22 00:00:00,RFC,West Virginia,Vandalism,24.0,186833.04166666666,2015-03-22 00:00:00
1718,2015-03-26 00:00:00,WECC,California,System Operations,15.0,58512.31137724551,2015-03-26 00:00:00
1719,2015-03-29 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,2015-03-29 00:00:00
1720,2015-04-01 00:00:00,WECC,Utah,Vandalism,131.05445040885473,37.0,2015-04-01 00:00:00
1721,2015-04-02 00:00:00,WECC,Utah,Vandalism,6.0,5763.0,2015-04-02 00:00:00
1722,2015-04-03 00:00:00,SPP,Kansas,Thunderstorms,175.22046969574686,70000.0,2015-04-03 00:00:00
1723,2015-04-06 00:00:00,WECC,California,System Operations,492.8332770163392,80000.0,2015-04-06 00:00:00
1725,2015-04-07 00:00:00,WECC,California,System Operations,492.8332770163392,58512.31137724551,2015-04-07 00:00:00
1726,2015-04-17 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,280982.0,2015-04-19 00:00:00
1728,2015-04-18 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,89000.0,2015-04-21 00:00:00
1729,2015-04-24 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,57000.0,2015-04-26 00:00:00
1730,2015-04-27 00:00:00,SERC,Texas,Severe Weather,2963.668405011457,199000.0,2015-04-28 00:00:00
1731,2015-05-02 00:00:00,SERC,Tennessee,Vandalism,1.0,215.0,2015-05-03 00:00:00
1732,2015-05-04 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,2015-05-04 00:00:00
1733,2015-05-11 00:00:00,WECC,California,Sabotage,492.8332770163392,58512.31137724551,2015-05-11 00:00:00
1734,2015-05-12 00:00:00,SERC,Mississippi,Sabotage,453.3753940828816,75101.94444444444,2015-05-12 00:00:00
1735,2015-05-18 00:00:00,WECC,Washington,Severe Weather,275.0,55748.43961352657,2015-05-18 00:00:00
1736,2015-05-25 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,454000.0,2015-05-29 00:00:00
1737,2015-05-25 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,61000.0,2015-05-28 00:00:00
1738,2015-05-25 00:00:00,SPP,Texas,Severe Weather,16.8211650907917,57531.0,2015-05-26 00:00:00
1739,2015-05-25 00:00:00,SPP,Texas,Severe Weather,16.8211650907917,57351.0,Unknown
1740,2015-05-26 00:00:00,SERC,Texas,Severe Weather,2963.668405011457,78515.0,2015-05-27 00:00:00
