,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2012-01-04 00:00:00,12:14:00,2012-01-04 00:00:00,12:14:00,"Tacoma, Washington",WECC,Suspected physical attack,,
1,2012-01-05 00:00:00,10:35:00,2012-01-05 00:00:00,12:25:00,"CSWS/AEP West territory, Oklahoma",SPP,Sabotage,0,0
2,2012-01-05 00:00:00,10:28:00,2012-01-05 00:00:00,12:25:00,"Creek County, Oklahoma",SPP,Suspected physical attack,,
3,2012-01-09 00:00:00,14:30:00,2012-01-09 00:00:00,15:30:00,"Watertown, Connecticut",NPCC,Vandalism,,
4,2012-01-09 00:00:00,13:36:00,2012-01-11 00:00:00,01:05:00,Louisiana,SERC,Load Shed,150,1
5,2012-01-10 00:00:00,21:30:00,2012-01-10 00:00:00,21:30:00,"Rusk County, Texas",TRE,Load Shed,,
6,2012-01-11 00:00:00,07:19:00,2012-01-11 00:00:00,09:07:00,Nevada,WECC,Suspected Physical Attack,0,0
7,2012-01-12 00:00:00,08:26:00,2012-01-12 00:00:00,08:26:00,"Newark, Delaware",RFC,Physical Attack,0,0
8,2012-01-13 00:00:00,09:20:00,2012-01-13 00:00:00,09:20:00,"Newark, Delaware",RFC,Physical Attack,0,0
9,2012-01-15 00:00:00,09:35:00,2012-01-15 00:00:00,09:35:00,"Tacoma, Washington",WECC,Vandalism,,
10,2012-01-17 00:00:00,10:31:00,2012-01-17 00:00:00,17:21:00,"Austin, Texas",TRE,Suspected Cyber Attack,,0
11,2012-01-19 00:00:00,07:00:00,2012-01-20 00:00:00,15:00:00,"King, Pierce and Thurston Counties, Washington",WECC,Severe Weather - Winter Storm,1600,426000
12,2012-01-24 00:00:00,11:22:00,2012-01-24 00:00:00,11:22:00,"Tacoma, Washington",WECC,Vandalism,,
13,2012-01-27 00:00:00,09:40:00,2012-01-27 00:00:00,09:40:00,"Frederickson Substation, Spanaway, Washington",WECC,Vandalism,,
14,2012-01-29 00:00:00,12:45:00,2012-01-29 00:00:00,12:45:00,"Roosevelt Substation, Tacoma, Washington",WECC,Vandalism,,
15,2012-02-11 00:00:00,08:47:00,2012-02-11 00:00:00,10:30:00,"Lamar, Colorado",WECC,Suspected Physical Attack,0,0
16,2012-02-11 00:00:00,08:55:00,2012-02-11 00:00:00,08:55:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,
17,2012-02-13 00:00:00,07:02:00,2012-02-13 00:00:00,16:25:00,"Asheville, North Carolina",SERC,Suspected Physical Attack,,
18,2012-02-14 00:00:00,19:20:00,2012-02-15 00:00:00,16:00:00,"Tacoma, Washington",WECC,Suspected Physical Attack,,
