,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2018-01-01 00:00:00,18:21:00,01/02/2018,18:11:00,Tennessee:,SERC,Severe Weather,Unknown,Unknown
1,2018-01-01 00:00:00,17:43:00,Unknown,Unknown,Texas:,TRE,Severe Weather,Unknown,Unknown
2,2018-01-01 00:00:00,21:37:00,01/02/2018,10:30:00,Tennessee:,SERC,System Operations,Unknown,Unknown
3,2018-01-02 00:00:00,10:00:00,02/12/2018,08:00:00,New York: Niagara County;,NPCC,Fuel Supply Deficiency,675,Unknown
4,2018-01-02 00:00:00,07:30:00,Unknown,Unknown,South Carolina:,SERC,Severe Weather,0,717000
5,2018-01-02 00:00:00,06:45:00,01/02/2018,09:00:00,North Carolina: South Carolina:,SERC,Severe Weather,14998,Unknown
6,2018-01-04 00:00:00,01:49:00,01/04/2018,02:09:00,Texas: Midland County;,TRE,Actual Physical Attack,Unknown,500
7,2018-01-12 00:00:00,13:08:00,01/12/2018,14:53:00,"Michigan: Midland County, Genesee County;",RF,System Operations,41,23007
8,2018-01-15 00:00:00,04:20:00,01/18/2018,05:48:00,Texas:,TRE,Severe Weather,Unknown,Unknown
9,2018-01-16 00:00:00,15:00:00,01/18/2018,13:00:00,Tennessee:,SERC,Severe Weather,Unknown,Unknown
10,2018-01-16 00:00:00,15:00:00,01/18/2018,13:00:00,Tennessee: Shelby County;,SERC,System Operations,Unknown,Unknown
11,2018-01-16 00:00:00,13:57:00,01/16/2018,14:32:00,Texas:,TRE,Severe Weather,Unknown,Unknown
12,2018-01-17 00:00:00,05:10:00,01/17/2018,13:00:00,Mississippi:,SERC,System Operations,1788,420000
13,2018-01-17 00:00:00,06:10:00,01/17/2018,14:00:00,Louisiana:,SERC,System Operations,Unknown,Unknown
14,2018-01-18 00:00:00,05:00:00,01/18/2018,11:00:00,Arkansas: Mississippi: Louisiana: Texas:,SERC,Severe Weather,31500,Unknown
15,2018-01-18 00:00:00,05:00:00,01/18/2018,09:45:00,Mississippi:,SERC,System Operations,1760,420000
16,2018-01-18 00:00:00,06:00:00,Unknown,Unknown,Louisiana:,SERC,System Operations,Unknown,Unknown
17,2018-01-25 00:00:00,20:19:00,01/26/2018,02:00:00,Pennsylvania: Montgomery County;,RF,Suspicious Activity,Unknown,Unknown
18,2018-02-04 00:00:00,13:42:00,02/04/2018,15:25:00,California:,WECC,Vandalism,9760,0
19,2018-02-08 00:00:00,13:25:00,02/08/2018,13:31:00,California:,WECC,System Operations,30,10900
20,2018-02-17 00:00:00,16:33:00,02/18/2018,00:00:00,Oregon: Washington: California:,WECC,Vandalism,2330,0
21,2018-02-17 00:00:00,17:56:00,02/18/2018,04:11:00,Oregon: Washington: California:,WECC,Vandalism,2327,0
22,2018-02-28 00:00:00,12:08:00,03/01/2018,15:45:00,Florida:,FRCC,System Operations,0,0
23,2018-02-28 00:00:00,12:08:00,03/01/2018,15:45:00,Florida:,FRCC,System Operations,0,0
24,2018-03-01 00:00:00,11:43:00,03/01/2018,11:56:00,California:,WECC,Severe Weather,38,10898
25,2018-03-01 00:00:00,21:57:00,03/02/2018,10:14:00,Ohio:,RF,Severe Weather,Unknown,86501
26,2018-03-01 00:00:00,22:20:00,03/04/2018,20:00:00,"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;",RF,Severe Weather,Unknown,95000
27,2018-03-02 00:00:00,17:00:00,03/06/2018,11:00:00,Delaware: Maryland:,RF,Severe Weather,Unknown,60000
28,2018-03-02 00:00:00,23:17:00,03/03/2018,00:51:00,Washington: Clark County;,WECC,Vandalism,0,0
29,2018-03-02 00:00:00,15:10:00,03/06/2018,04:57:00,Ohio:,RF,Severe Weather,Unknown,249322
30,2018-03-02 00:00:00,11:34:00,Unknown,Unknown,New York:,NPCC,Severe Weather,Unknown,50000
31,2018-03-02 00:00:00,15:46:00,03/04/2018,19:46:00,"New York: New York County, Westchester County;",NPCC,Severe Weather,Unknown,72353
32,2018-03-02 00:00:00,13:51:00,03/05/2018,13:18:00,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,Unknown,325000
33,2018-03-02 00:00:00,13:51:00,03/04/2018,12:11:00,Pennsylvania:,RF,Severe Weather,Unknown,233136
34,2018-03-02 00:00:00,11:58:00,Unknown,Unknown,"Pennsylvania: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;",RF,Severe Weather,Unknown,126000
35,2018-03-02 00:00:00,12:00:00,03/05/2018,00:00:00,Pennsylvania:,RF,Severe Weather,Unknown,630000
36,2018-03-02 00:00:00,07:00:00,Unknown,Unknown,"New York: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;",NPCC,Severe Weather,Unknown,90000
37,2018-03-02 00:00:00,12:00:00,Unknown,Unknown,Maryland:,RF,Severe Weather,670,474019
38,2018-03-02 00:00:00,08:42:00,Unknown,Unknown,New York:,NPCC,Severe Weather,Unknown,63331
39,2018-03-02 00:00:00,08:00:00,03/03/2018,23:00:00,Virginia: West Virginia:,RF,Severe Weather,Unknown,65198
40,2018-03-07 00:00:00,16:10:00,03/10/2018,11:32:00,New Jersey:,RF,Severe Weather,Unknown,216800
41,2018-03-07 00:00:00,17:15:00,Unknown,Unknown,New Jersey:,RF,Severe Weather,50,58000
