,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2022-01-01 00:00:00,12:36:00,01/01/2022,14:12:00,Washington: Thurston County;,WECC,System Operations,0,0
1,2022-01-01 00:00:00,12:36:00,01/02/2022,19:43:00,Washington: Thurston County;,WECC,System Operations,0,0
2,2022-01-01 00:00:00,01:01:00,Unknown,Unknown,Georgia: Clayton County;,SERC,Vandalism,0,0
3,2022-01-01 00:00:00,00:06:00,01/01/2022,05:51:00,New Hampshire: Merrimack County;,NPCC,Suspicious Activity,2,845
4,2022-01-02 00:00:00,13:21:00,01/02/2022,17:38:00,California: Tuolumne County;,WECC,Severe Weather,3,1706
5,2022-01-03 00:00:00,12:45:00,01/03/2022,12:46:00,Washington: Thurston County;,WECC,Vandalism,0,0
6,2022-01-03 00:00:00,05:00:00,01/04/2022,18:00:00,South Carolina:,SERC,Severe Weather,Unknown,60424
7,2022-01-03 00:00:00,05:30:00,01/04/2022,12:30:00,North Carolina: South Carolina:,SERC,Severe Weather,Unknown,142000
8,2022-01-03 00:00:00,01:00:00,01/03/2022,14:00:00,Georgia: Alabama: Mississippi:,SERC,Severe Weather,283,40885
9,2022-01-05 00:00:00,12:32:00,01/05/2022,12:45:00,Massachusetts: Plymouth County;,NPCC,System Operations,0,0
10,2022-01-08 00:00:00,02:20:00,01/12/2022,07:40:00,Florida: Citrus County;,SERC,Vandalism,0,0
11,2022-01-08 00:00:00,18:07:00,01/08/2022,22:26:00,New Hampshire: Merrimack County;,NPCC,Suspicious Activity,0,0
12,2022-01-08 00:00:00,02:56:00,01/08/2022,03:03:00,"Texas: Cameron County, Willacy County;",TRE,System Operations,0,0
13,2022-01-09 00:00:00,18:08:00,Unknown,Unknown,Mississippi: Adams County;,SERC,System Operations,Unknown,Unknown
14,2022-01-12 00:00:00,09:20:00,01/12/2022,10:25:00,Indiana: Kentucky: Ohio:,SERC/RF,System Operations,Unknown,Unknown
15,2022-01-13 00:00:00,16:00:00,01/13/2022,16:01:00,Massachusetts: Hampden County[13];,NPCC,Suspicious Activity,0,0
16,2022-01-14 00:00:00,13:50:00,01/14/2022,14:13:00,Pennsylvania: Bucks County;,NPCC,Suspicious Activity,0,0
17,2022-01-14 00:00:00,08:34:00,01/14/2022,08:42:00,Texas: Potter County; New Mexico:,TRE/WECC,Transmission Interruption,0,0
18,2022-01-15 00:00:00,14:09:00,01/15/2022,14:28:00,New York: Orange County;,NPCC,Suspicious Activity,0,0
19,2022-01-16 00:00:00,12:05:00,01/17/2022,08:45:00,North Carolina: Jackson County; South Carolina: Greenville County;,SERC,Severe Weather,Unknown,51289
