,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2010-01-06 00:00:00, SERC ,6:00 p.m.,Southwest Louisiana,Made Public Appeals,,,2010-01-08 18:00:00
1,2010-01-11 00:00:00,FRCC/SERC ,3:45 a.m.,Northern and Central Florida,Interruptible Load Shed/Made Public Appeals,,,2010-01-11 09:57:00
2,2010-01-18 00:00:00,WECC ,11:30 a.m.,Northern and Central California,Severe Storm,290,1700000.0,2010-01-28 08:00:00
3,2010-01-19 00:00:00,WECC ,7:30 a.m.,San Francisco,Severe Storm,300,30000.0,2010-01-19 12:24:00
4,2010-01-19 00:00:00, WECC ,2:30 p.m.,San Diego and Orange Counties,Severe Storm,2650,50000.0,2010-01-20 15:00:00
5,2010-01-20 00:00:00,WECC ,1:00 p.m.,"City of Los Angeles, California",Severe Storm,,147223.0,2010-01-24 18:10:00
6,2010-01-28 00:00:00, SPP ,12:00 p.m.,Oklahoma,Ice Storm,,68705.0,2010-02-02 12:00:00
7,2010-02-01 00:00:00,SPP ,2:32 p.m.,Oklahoma,Ice Storm/Electrical System Separation,30,0.0,2010-02-01 17:00:00
8,2010-02-05 00:00:00,RFC ,3:00 p.m.,Southern NJ,Winter Storm,,221000.0,2010-02-13 16:00:00
9,2010-02-05 00:00:00,SERC ,6:48 p.m.,North and South Carolina,Winter Storm,500,74000.0,2010-02-07 17:00:00
10,2010-02-05 00:00:00,RFC ,7:00 p.m.,"District of Columbia, Prince Georges and Montgomery Co. MD",Winter Storm,,97651.0,2010-02-12 15:46:00
11,2010-02-05 00:00:00,RFC ,10:30 p.m.,Southwestern Pennsylvania,Winter Storm,,57000.0,2010-02-12 12:00:00
12,2010-02-05 00:00:00, RFC ,11:30 p.m.,"Indiana, Ohio, W. Virginia and Virginia",Winter Storm,,102225.0,2010-02-07 02:38:00
13,2010-02-06 00:00:00,SERC ,2:30 a.m.,"Virginia, North Carolina",Winter Storm,600,104736.0,2010-02-07 07:00:00
14,2010-02-06 00:00:00,RFC ,8:00 a.m.,Delmarva Peninsula,Winter Storm,,58491.0,2010-02-06 09:00:00
15,2010-02-09 00:00:00, RFC ,6:00 p.m.,Southeastern Pennsylvania,Winter Storm,,223000.0,2010-02-14 16:00:00
16,2010-02-11 00:00:00,TRE ,12:00 p.m.,Dallas/Fort Worth and East Texas,Winter Storm,,500000.0,2010-02-15 21:00:00
17,2010-02-12 00:00:00, SPP ,5:00 a.m.,"East Texas, Western Arkansas, Northern Lousiania",Winter Storm,,52999.0,2010-02-12 17:00:00
18,2010-02-14 00:00:00,RFC ,10:00 a.m.,Western Pennsylvania nd Northeast Central WV,Winter Storm,900,190000.0,2010-02-14 12:00:00
19,2010-02-19 00:00:00,WECC ,8:30 p.m.,"San Joaquin Field Division/Bakersfield, CA",Firm System Load Shed,1000,,2010-02-20 04:01:00
20,2010-02-23 00:00:00,NPCC ,10:00 p.m.,Upstate New York,Winter Storm,,150000.0,2010-02-25 16:00:00
21,2010-02-25 00:00:00,NPCC ,12:01 a.m.,"Southeastern New York, Northern New Jersey",Winter Storm,,65000.0,2010-02-26 21:00:00
22,2010-02-25 00:00:00, NPCC ,5:00 p.m.,New York City,Winter Storm,,55000.0,2010-03-02 19:00:00
23,2010-02-25 00:00:00,NPCC ,11:53 p.m.,Southern Maine and New Hampshire,Winter Storm,510,509606.0,2010-03-01 16:40:00
24,2010-03-13 00:00:00,RFC ,1:00 a.m.,Southeasten Pennsylvania,High Winds and rain,,177528.0,2010-03-16 18:40:00
25,2010-03-13 00:00:00,NPCC ,12:00 p.m.,Connecticut,High Winds and Rain,50,50246.0,2010-03-15 20:05:00
