,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2009-01-05 00:00:00,TRE,5:00 a.m.,North and Central Texas,Severe Storm,,157019,2009-01-06 18:00:00
1,2009-01-07 00:00:00,SERC,5:00 p.m.,Piedmont of North and South Carolina,High Winds,300,70000,2009-01-07 20:05:00
2,2009-01-08 00:00:00,FRCC,11:46 p.m.,Florida Keys,Transmission Equipment Failure,55,31000,2009-01-09 11:25:00
3,2009-01-17 00:00:00,RFC,8:00 a.m.,"PJM, Indiana",Fuel Supply Deficiency,,,2009-01-25 08:00:00
4,2009-01-22 00:00:00,RFC,4:00 p.m.,"Crawfordsville, Indiana",Shed Load,50,9700,2009-01-22 17:05:00
5,2009-01-27 00:00:00,RFC,5:00 a.m.,State of Kentucky,Ice Storm,,383000,2009-01-29 16:30:00
6,2009-01-27 00:00:00,SERC,5:03 a.m.,Central and Eastern Kentrucky,Ice Storm,600,190000,2009-01-31 17:15:00
7,2009-01-27 00:00:00,SERC,7:10 a.m.,Western Kentucky and Southern Indiana,Ice Storm,350,3,2009-02-04 19:30:00
8,2009-01-27 00:00:00,SERC,11:00 a.m.,South Central and Southeast Missouri,Winter Storm,200,62500,2009-01-30 18:00:00
9,2009-01-27 00:00:00,SERC,1:46 p.m.,Northern Arkansas,Ice Storm,,111818,2009-02-03 17:00:00
10,2009-01-27 00:00:00,RFC,3:43 p.m.,CSWS-AEP West,Ice/Snow Storm,,59402,2009-01-29 09:00:00
11,2009-01-27 00:00:00,SERC,9:00 p.m.,Northern Arkansas,Ice Storm,600,215700,2009-01-29 06:00:00
12,2009-01-27 00:00:00,SERC,9:45 p.m.,TVA Service Territory,Ice Storm,850,1,2009-01-27 22:17:00
13,2009-01-28 00:00:00,RFC,12:10 a.m.,East Central Missouri,Winter Storm,300,1,2009-01-30 21:20:00
14,2009-01-28 00:00:00,RFC,3:00 a.m.,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,,230300,2009-02-13 08:03:00
15,2009-01-28 00:00:00,RFC,4:00 a.m.,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",Ice Storm,21,3500,2009-02-07 17:00:00
16,2009-01-28 00:00:00,RFC,6:00 a.m.,"Indiana, Evansville, Metro Area",Ice Storm,506,75000,2009-02-05 18:00:00
17,2009-01-28 00:00:00,RFC,7:50 a.m.,Southern Indiana,Ice/Snow Storm,,53700,2009-02-13 08:03:00
18,2009-01-28 00:00:00,SERC,9:00 a.m.,Northeast Tennessee and Southwest Kentucky,Ice Storm,,109527,2009-02-05 08:00:00
19,2009-01-28 00:00:00,RFC,10:00 a.m.,Northern Kentucky and Southwest Ohio,Ice/Snow Storm,,53600,2009-01-30 21:20:00
20,2009-02-11 00:00:00,TRE,2:30 a.m.,"Houston, Texas",High Winds,350,64801,2009-02-11 12:00:00
21,2009-02-11 00:00:00,RFC,6:00 p.m.,"Kentucky, West Virginia and Ohio",Severe Thunderstorms,,279813,2009-02-13 17:00:00
22,2009-02-11 00:00:00,RFC,6:18 p.m.,"Maryland, Virginia, West Virginia and Pennsylvania",Severe Thunderstorms,,374644,2009-02-16 20:10:00
23,2009-02-11 00:00:00,RFC,7:00 p.m.,State of Kentucky,Severe Thunderstorms,,78000,2009-02-12 11:00:00
