,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2019-01-05 00:00:00,13:19:00,01/05/2019,15:07:00,Washington:,WECC,System Operations,0,Unknown
1,2019-01-06 00:00:00,03:00:00,01/09/2019,07:00:00,Washington:,WECC,Severe Weather,230,230000
2,2019-01-06 00:00:00,17:56:00,01/06/2019,21:52:00,California: Sacramento County;,WECC,Severe Weather,300,90382
3,2019-01-06 00:00:00,01:00:00,01/06/2019,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,Severe Weather,Unknown,230000
4,2019-01-07 00:00:00,20:57:00,01/07/2019,21:32:00,Michigan:,RF,System Operations,0,0
5,2019-01-09 00:00:00,11:55:00,01/09/2019,11:56:00,New Mexico: San Juan County;,WECC,Suspicious Activity,0,0
6,2019-01-10 00:00:00,12:19:00,01/10/2019,12:48:00,Montana: Valley County;,WECC,System Operations,11,2
7,2019-01-11 00:00:00,11:36:00,01/11/2019,12:43:00,Maine:,RF,System Operations,0,0
8,2019-01-12 00:00:00,11:30:00,01/13/2019,22:00:00,Missouri: Jackson County; Kansas: Johnson County;,SPP RE,Severe Weather,Unknown,112530
9,2019-01-12 00:00:00,11:30:00,Unknown,Unknown,Missouri: Nebraska:,SERC,Severe Weather,Unknown,116600
10,2019-01-12 00:00:00,19:20:00,01/12/2019,21:38:00,New Hampshire:,NPCC,System Operations,0,0
11,2019-01-13 00:00:00,05:30:00,01/15/2019,17:00:00,North Carolina: South Carolina:,SERC,Severe Weather,133200,Unknown
12,2019-01-14 00:00:00,11:10:00,Unknown,Unknown,Michigan:,RF,Actual Physical Attack,Unknown,Unknown
13,2019-01-15 00:00:00,08:00:00,01/15/2019,08:02:00,Pennsylvania:,RF,Vandalism,0,0
14,2019-01-16 00:00:00,17:26:00,01/17/2019,12:19:00,California:,WECC,Severe Weather,190,126700
15,2019-01-16 00:00:00,05:19:00,01/16/2019,07:14:00,Texas: Nueces County;,TRE,System Operations,0,0
16,2019-01-18 00:00:00,21:54:00,01/19/2019,00:19:00,Nebraska:,MRO,Transmission Interruption,8,Unknown
17,2019-01-23 00:00:00,07:26:00,01/23/2019,17:05:00,Colorado: Larimer County;,WECC,System Operations,0,0
18,2019-01-24 00:00:00,04:39:00,01/24/2019,05:16:00,Ohio:,RF,System Operations,0,0
19,2019-01-28 00:00:00,13:35:00,01/28/2019,13:40:00,Utah: Iron County;,WECC,Actual Physical Attack,0,0
20,2019-01-29 00:00:00,18:34:00,01/29/2019,18:36:00,Louisiana: Washington Parish;,SERC,Transmission Interruption,Unknown,Unknown
21,2019-01-30 00:00:00,16:30:00,Unknown,Unknown,Washington:,WECC,Vandalism,0,0
22,2019-01-30 00:00:00,04:23:00,02/02/2019,09:00:00,Illinois: Scott County;,SERC,Fuel Supply Deficiency,Unknown,Unknown
23,2019-01-30 00:00:00,09:30:00,01/31/2019,18:00:00,Michigan:,RF,Severe Weather,Unknown,Unknown
24,2019-01-30 00:00:00,07:00:00,01/30/2019,08:08:00,Illinois: Pike County;,SERC,Severe Weather,Unknown,Unknown
25,2019-01-31 00:00:00,21:33:00,01/31/2019,21:34:00,California:,WECC,Vandalism,0,0
26,2019-02-01 00:00:00,23:57:00,02/02/2019,08:49:00,Nevada,WECC,Vandalism,Unknown,1
27,2019-02-01 00:00:00,05:35:00,02/01/2019,06:10:00,Massachusetts,NPCC,System Operations,0,0
28,2019-02-02 00:00:00,10:28:00,02/02/2019,10:29:00,California,WECC,Vandalism,0,0
29,2019-02-05 00:00:00,18:17:00,02/05/2019,20:26:00,California,WECC,Severe Weather,42,33200
30,2019-02-07 00:00:00,07:39:00,02/07/2019,07:40:00,Arkansas,SERC,Severe Weather/Transmission Interruption,3,3370
31,2019-02-07 00:00:00,08:55:00,02/09/2019,16:30:00,Michigan,RF,Severe Weather,Unknown,233000
32,2019-02-08 00:00:00,10:00:00,02/08/2019,10:30:00,Pennsylvania,RF,Vandalism,0,0
33,2019-02-08 00:00:00,18:30:00,Unknown,Unknown,Washington,WECC,Severe Weather,Unknown,50940
34,2019-02-13 00:00:00,02:48:00,02/15/2019,00:28:00,California,WECC,Severe Weather,182,121000
35,2019-02-14 00:00:00,08:50:00,02/14/2019,12:10:00,New Jersey,RF,Vandalism,0,0
