,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2017-01-05 00:00:00,16:56:00,01/05/2017,16:57:00,Florida: Martin County;,FRCC,Suspected Physical Attack,0,0
1,2017-01-08 00:00:00,09:07:00,01/13/2017,14:30:00,California,WECC,Severe Weather,Unknown,106000
2,2017-01-08 00:00:00,23:59:00,Unknown,Unknown,California,WECC,Fuel Supply Deficiency,0,0
3,2017-01-10 00:00:00,19:30:00,01/13/2017,14:30:00,California,WECC,Severe Weather,Unknown,87000
4,2017-01-15 00:00:00,06:35:00,01/15/2017,07:44:00,California: Los Angeles County;,WECC,Transmission Disruption,176,126000
5,2017-01-15 00:00:00,09:27:00,01/17/2017,01:58:00,Oklahoma: Harper County;,SPP,Severe Weather,1,788
6,2017-01-18 00:00:00,18:05:00,01/19/2017,00:05:00,California,WECC,Severe Weather,Unknown,75000
7,2017-01-22 00:00:00,04:15:00,01/24/2017,14:00:00,California,WECC,Severe Weather,97,64000
8,2017-01-22 00:00:00,06:00:00,Unknown,Unknown,California,WECC,Fuel Supply Deficiency,0,0
9,2017-01-22 00:00:00,16:00:00,01/23/2017,03:26:00,Alabama: Georgia: Mississippi: Florida:,SERC,Severe Weather,100,29965
10,2017-02-02 00:00:00,01:04:00,2017-02-02 00:00:00,05:00:00,"New Mexico: Bernalillo County, Santa Fe County;",WECC,Transmission Interruption,396,149223
11,2017-02-02 00:00:00,01:11:00,Unknown,Unknown,New Mexico: Bernalillo County;,WECC,Transmission Interruption,400,Unknown
12,2017-02-06 00:00:00,01:00:00,2017-02-06 00:00:00,19:30:00,"Washington: Skagit County, King County, Kitsap County;",WECC,Severe Weather,Unknown,103000
13,2017-02-09 00:00:00,16:05:00,2017-02-10 00:00:00,05:15:00,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,Unknown,11525
14,2017-02-11 00:00:00,15:46:00,2017-02-11 00:00:00,15:50:00,Utah,WECC,Actual Physical Attack,0,0
15,2017-02-13 00:00:00,13:00:00,2017-02-15 00:00:00,13:35:00,North Carolina: Union County;,SERC,Vandalism ,0,0
16,2017-02-17 00:00:00,13:00:00,2017-02-17 00:00:00,13:15:00,Nevada: Clark County;,WECC,Vandalism ,0,0
17,2017-02-17 00:00:00,15:00:00,2017-02-20 00:00:00,11:00:00,California: Los Angeles County;,WECC,Severe Weather,Unknown,111591
18,2017-02-17 00:00:00,08:09:00,2017-02-22 00:00:00,19:30:00,California,WECC,Severe Weather,254,169250
19,2017-02-17 00:00:00,04:32:00,2017-02-17 00:00:00,05:02:00,Missouri: Arkansas: Oklahoma: Texas:,SPP,System Operations,0,0
20,2017-03-01 00:00:00,11:49:00,03/02/2017,21:30:00,Kentucky: West Virginia:,RFC,Severe Weather,Unknown,98575
21,2017-03-01 00:00:00,08:30:00,03/01/2017,14:00:00,Tennessee: Kentucky:,SERC,Severe Weather,Unknown,58000
22,2017-03-02 00:00:00,12:20:00,03/02/2017,23:45:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,Unknown,54316
23,2017-03-06 00:00:00,20:00:00,03/07/2017,01:00:00,"Missouri: Jackson County, Platte County, Cass County, Lafayette County, Chariton County, Carroll County, Clay County, Johnson County;",SERC,Severe Weather,Unknown,97734
24,2017-03-08 00:00:00,11:30:00,03/08/2017,19:52:00,Ohio,RFC,Severe Weather,Unknown,71012
25,2017-03-08 00:00:00,12:00:00,03/11/2017,11:31:00,Michigan,RFC,Severe Weather,Unknown,800000
26,2017-03-08 00:00:00,09:30:00,03/11/2017,05:00:00,"Michigan: Jackson County, Calhoun County, Ingham County, Hillsdale County, Washtenaw County, Kent County, Ottawa County, Midland County, Saginaw County;",RFC,Severe Weather,Unknown,343000
27,2017-03-08 00:00:00,13:30:00,03/08/2017,16:30:00,New York,NPCC,Severe Weather/Transmission Interruption,Unknown,106869
