,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2021-01-01 00:00:00,07:04:00,01/01/2021,07:05:00,California: Alameda County;,WECC,Vandalism,0,0
1,2021-01-02 00:00:00,10:28:00,01/02/2021,10:29:00,California: Butte County;,WECC,System Operations,8,5803
2,2021-01-04 00:00:00,10:34:00,01/04/2021,10:49:00,Pennsylvania:,RF,Transmission Interruption,6,3825
3,2021-01-08 00:00:00,01:26:00,01/08/2021,02:45:00,Arkansas: Prairie County;,SERC,Sabotage,Unknown,1908
4,2021-01-10 00:00:00,22:44:00,01/13/2021,16:00:00,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,Severe Weather,Unknown,188000
5,2021-01-11 00:00:00,05:00:00,01/11/2021,14:22:00,Louisiana: Texas:,SERC,Severe Weather/Distribution Interruption,Unknown,58000
6,2021-01-12 00:00:00,23:50:00,01/15/2021,13:00:00,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,Severe Weather,100,320000
7,2021-01-12 00:00:00,20:46:00,01/13/2021,16:00:00,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,Severe Weather,Unknown,94231
8,2021-01-12 00:00:00,23:49:00,01/14/2021,14:00:00,Washington:,WECC,Severe Weather/Distribution Interruption,150,70000
9,2021-01-12 00:00:00,20:30:00,Unknown,Unknown,Washington: Snohomish County;,WECC,Severe Weather/Transmission Interruption,200,62000
10,2021-01-13 00:00:00,03:43:00,01/13/2021,16:00:00,Washington: Idaho:,WECC,Severe Weather,185,70417
11,2021-01-13 00:00:00,13:05:00,01/13/2021,13:06:00,Georgia: Houston County;,SERC,Vandalism,0,0
12,2021-01-15 00:00:00,17:48:00,01/15/2021,18:55:00,Missouri:,SERC,System Operations,0,0
13,2021-01-18 00:00:00,14:07:00,01/18/2021,14:42:00,Connecticut:,NPCC,System Operations,0,0
14,2021-01-19 00:00:00,09:31:00,01/21/2021,14:36:00,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",WECC,Severe Weather,Unknown,173746
15,2021-01-19 00:00:00,02:48:00,01/20/2021,11:41:00,California:,WECC,Severe Weather,411,124888
16,2021-01-21 00:00:00,00:00:00,02/03/2021,16:55:00,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,TRE,Vandalism,0,0
17,2021-01-23 00:00:00,07:00:00,01/27/2021,13:45:00,Georgia: Laurens County;,SERC,Cyber Event,29,Unknown
18,2021-01-23 00:00:00,07:45:00,01/23/2021,08:00:00,"California: Placer County, Nevada County;",WECC,Suspicious Activity,45,0
19,2021-01-26 00:00:00,20:49:00,01/28/2021,21:14:00,California:,WECC,Severe Weather,841,255715
20,2021-01-27 00:00:00,12:30:00,01/27/2021,16:18:00,New Hampshire: Hillsborough County;,NPCC,Vandalism,0,0
21,2021-01-28 00:00:00,10:15:00,01/28/2021,16:46:00,New Hampshire: Hillsborough County;,NPCC,Vandalism,0,0
22,2021-02-01 00:00:00,23:25:00,02/02/2021,01:12:00,Texas: Kleberg County;,TRE,Transmission Interruption,13,6102
23,2021-02-02 00:00:00,12:34:00,02/02/2021,15:43:00,South Dakota: Hughes County;,MRO,Severe Weather/Transmission Interruption,5,4
24,2021-02-02 00:00:00,09:25:00,02/03/2021,11:38:00,South Dakota: Hughes County;,MRO,Severe Weather/Transmission Interruption,5,3
25,2021-02-03 00:00:00,14:22:00,02/04/2021,22:32:00,"North Dakota: Logan County, Emmons County, McIntosh County;",MRO,Transmission Interruption,7,1400
26,2021-02-05 00:00:00,09:43:00,02/05/2021,11:19:00,Arkansas: Arkansas County;,SERC,Vandalism,0,0
27,2021-02-06 00:00:00,06:50:00,02/06/2021,14:43:00,Ohio: Kentucky:,RF,Transmission Interruption,0,0
