,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2020-01-09 00:00:00,23:07:00,01/09/2020,23:19:00,Arkansas: Yell County;,SPP RE,Severe Weather/Transmission Interruption,0,0
1,2020-01-09 00:00:00,20:45:00,01/10/2020,21:23:00,Washington: King County;,WECC,Suspicious Activity,0,0
2,2020-01-09 00:00:00,07:40:00,01/09/2020,08:48:00,Minnesota: North Dakota: Wisconsin:,MRO,System Operations,0,0
3,2020-01-09 00:00:00,23:07:00,01/09/2020,23:18:00,Arkansas:,SPP RE,System Operations,Unknown,Unknown
4,2020-01-10 00:00:00,14:53:00,Unknown,Unknown,Tennessee: Hamilton County;,SERC,Suspicious Activity,Unknown,Unknown
5,2020-01-11 00:00:00,02:25:00,01/11/2020,07:56:00,Arkansas: Cross County;,SPP RE,Severe Weather/Transmission Interruption,22,7541
6,2020-01-11 00:00:00,23:02:00,01/12/2020,02:01:00,North Carolina: South Carolina:,SERC,Severe Weather,Unknown,66475
7,2020-01-11 00:00:00,03:30:00,01/11/2020,17:30:00,Arkansas: Texas:,SPP RE,Severe Weather,Unknown,68138
8,2020-01-11 00:00:00,13:20:00,Unknown,Unknown,Tennessee:,SERC,Severe Weather,4,Unknown
9,2020-01-11 00:00:00,12:50:00,01/12/2020,13:33:00,Alabama: Georgia: Mississippi:,SERC,Severe Weather,219,30715
10,2020-01-12 00:00:00,11:15:00,01/12/2020,11:18:00,Texas: Brazos County;,TRE,Suspicious Activity,0,0
11,2020-01-14 00:00:00,00:00:00,01/14/2020,01:00:00,Florida: Alachua County;,FRCC,Suspicious Activity,0,0
12,2020-01-16 00:00:00,11:06:00,01/16/2020,11:36:00,Texas: Harris County;,TRE,System Operations,0,0
13,2020-01-17 00:00:00,05:28:00,01/17/2020,10:13:00,California: Humboldt County;,WECC,Severe Weather/Transmission Interruption,87,67864
14,2020-01-20 00:00:00,06:30:00,01/20/2020,06:31:00,California: Los Angeles County;,WECC,Vandalism,0,0
15,2020-01-22 00:00:00,02:57:00,01/22/2020,03:17:00,Nevada: Humboldt County;,WECC,Actual Physical Attack,7,3120
16,2020-01-23 00:00:00,23:30:00,01/24/2020,00:39:00,Florida: Manatee County;,FRCC,Vandalism,0,0
17,2020-01-24 00:00:00,04:34:00,Unknown,Unknown,California:,WECC,Fuel Supply Deficiency,0,0
18,2020-01-27 00:00:00,14:10:00,01/27/2020,18:58:00,North Dakota: South Dakota: Montana:,MRO,System Operations,540,130000
19,2020-01-30 00:00:00,03:01:00,01/30/2020,04:36:00,North Dakota: Burleigh County;,MRO,Transmission Interruption,75,0
20,2020-01-31 00:00:00,09:50:00,02/03/2020,10:00:00,California:,WECC,Suspicious Activity,0,0
21,2020-02-06 00:00:00,14:29:00,02/07/2020,12:44:00,North Carolina:,SERC,Severe Weather/Distribution Interruption,Unknown,284256
22,2020-02-06 00:00:00,13:30:00,02/07/2020,20:08:00,North Carolina: South Carolina:,SERC,Severe Weather/Transmission Interruption,Unknown,89500
23,2020-02-07 00:00:00,16:25:00,02/08/2020,12:00:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,Unknown,123359
24,2020-02-07 00:00:00,14:42:00,02/10/2020,09:25:00,New York:,NPCC,Severe Weather,Unknown,7500
25,2020-02-07 00:00:00,11:00:00,Unknown,Unknown,Pennsylvania:,RF,Severe Weather/Distribution Interruption,Unknown,52000
26,2020-02-07 00:00:00,08:48:00,Unknown,Unknown,Virginia: North Carolina:,SERC,Severe Weather,Unknown,87000
27,2020-02-08 00:00:00,13:56:00,02/08/2020,15:04:00,California:,WECC,Vandalism,0,0
28,2020-02-09 00:00:00,09:30:00,02/09/2020,21:40:00,"California: Alameda County, Contra Costa County, El Dorado County, Nevada County, Placer County, Sierra County, Santa Clara County, Napa County, Marin County, Santa Cruz County;",WECC,Severe Weather,500,145000
29,2020-02-11 00:00:00,02:53:00,02/11/2020,13:30:00,Texas: Sterling County;,TRE,System Operations,0,0
30,2020-02-11 00:00:00,07:13:00,02/11/2020,16:00:00,Oregon: Clackamas County;,WECC,Transmission Interruption,Unknown,0
31,2020-02-12 00:00:00,07:36:00,02/12/2020,08:53:00,Maine:,NPCC,System Operations,0,0
32,2020-02-13 00:00:00,08:01:00,02/13/2020,14:38:00,Oregon:,WECC,Vandalism,0,0
33,2020-02-17 00:00:00,09:47:00,02/17/2020,15:31:00,Alabama: Chambers County;,SERC,Vandalism,97,Unknown
34,2020-02-17 00:00:00,13:18:00,02/20/2020,09:51:00,Michigan: Eaton County;,RF,Vandalism,0,0
35,2020-02-17 00:00:00,04:00:00,Unknown,Unknown,Northern and Central California;,WECC,Severe Weather,91,70000
36,2020-02-18 00:00:00,13:00:00,02/18/2020,14:00:00,California: Kern County;,WECC,Vandalism,0,0
37,2020-02-25 00:00:00,11:45:00,02/25/2020,13:00:00,California: Los Angeles County;,WECC,Vandalism,0,0
38,2020-02-26 00:00:00,16:30:00,02/26/2020,17:02:00,Oklahoma:,SPP RE,System Operations,0,0
39,2020-02-26 00:00:00,17:00:00,02/26/2020,18:05:00,Maine:,NPCC,System Operations,0,0
40,2020-02-26 00:00:00,11:29:00,02/26/2020,12:14:00,South Dakota: Wyoming: Colorado:,MRO,System Operations,0,0
41,2020-02-29 00:00:00,01:45:00,02/29/2020,02:30:00,"Nevada: Clark County, Washoe County;",WECC,System Operations,0,0
42,2020-03-01 00:00:00,11:27:00,03/01/2020,21:47:00,Mississippi: Rankin County;,SERC,Transmission Interruption,19,3136
43,2020-03-01 00:00:00,22:15:00,Unknown,Unknown,New York:,NPCC,Vandalism,0,0
44,2020-03-01 00:00:00,08:00:00,Unknown,Unknown,Western NY,NPCC,Fuel Supply Deficiency,675,Unknown
45,2020-03-02 00:00:00,01:43:00,03/02/2020,02:43:00,"Nevada: Clark County, Washoe County;",WECC,System Operations,0,0
46,2020-03-03 00:00:00,14:30:00,03/03/2020,14:31:00,Alabama:,SERC,Vandalism,0,0
47,2020-03-08 00:00:00,22:10:00,03/09/2020,01:02:00,Texas: Llano County;,TRE,Suspicious Activity,0,0
48,2020-03-12 00:00:00,01:03:00,03/12/2020,03:00:00,Pennsylvania:,RF,Transmission Interruption,40,15864
49,2020-03-16 00:00:00,12:01:00,03/16/2020,13:10:00,California:,WECC,Severe Weather,165,110800
50,2020-03-16 00:00:00,08:00:00,03/16/2020,08:01:00,California: Los Angeles County;,WECC,Vandalism,0,0
51,2020-03-16 00:00:00,08:00:00,03/16/2020,08:01:00,California: Los Angeles County;,WECC,Vandalism,0,0
52,2020-03-17 00:00:00,10:30:00,03/17/2020,11:41:00,Michigan: Washtenaw County;,RF,System Operations,6062,0
