,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2007-01-05 00:00:00,PR,10:44 a.m.,Island of Puerto Rico,Voltage Reduction,0,0,2007-01-05 11:13:00
1,2007-01-13 00:00:00,MRO,5:00 a.m.,Missouri and Illinois,Ice Storm,,225000,2007-01-19 12:00:00
2,2007-01-13 00:00:00,RFC,7:30 a.m.,Eastern and Lower Michigan,Ice Storm,500,129607,2007-01-19 16:00:00
3,2007-01-16 00:00:00,WECC,2:00 a.m.,"Snohomish County, Washington",Major Windstorm,260,110433,2007-01-17 00:00:00
4,2007-02-13 00:00:00,RFC,2:00 p.m.,Indiana and Southwest Ohio,Ice/Wind Storm,250,367500,2007-02-16 00:00:00
5,2007-02-13 00:00:00,RFC,5:00 p.m.,Central Maryland,Winter Storm,400,155183,2007-02-17 05:30:00
6,2007-02-24 00:00:00,MRO,4:00 p.m.,"NE quarter of State of Iowa and Rock Island, Illinois",Ice Storm,210,75000,2007-03-04 00:57:00
7,2007-02-24 00:00:00,MRO,6:00 p.m.,Central Iowa and Cedar Rapids areas,Ice Storm,400,140000,2007-02-24 23:47:00
8,2007-02-24 00:00:00,RFC,7:23 p.m.,"Cedar Rapids, Iowa",Ice Storm,750,215000,2007-02-25 00:47:00
9,2007-02-28 00:00:00,WECC,12:45 a.m.,Northern California,Winter Storm,110,671189,2007-03-02 20:45:00
10,2007-03-01 00:00:00,SERC,9:40 p.m.,"Parts of Alabama, Mississippi, Georgia, Florida",Major Storm,95,25445,2007-03-02 23:30:00
11,2007-03-31 00:00:00,ERCOT,7:30 a.m.,"Houston, Texas",Severe Thunderstorms,179,67000,2007-03-31 19:00:00
12,2007-04-05 00:00:00,NPCC,9:20 p.m.,Southern and Coastal Maine,Heavy Snow Storm,-,117142,2007-04-06 13:10:00
13,2007-04-12 00:00:00,WECC,12:32 a.m.,"City of Los Angeles, California",High Winds,200,158977,2007-04-12 21:02:00
14,2007-04-12 00:00:00,WECC,9:09 a.m.,"San Francisco Bay Area, California",Trip of a Unit,130,-,2007-04-12 11:23:00
15,2007-04-14 00:00:00,NPCC,9:00 a.m.,"Massachusetts, New Hampshire, Rhode Island",High Winds,65-80,70000,2007-04-14 11:00:00
16,2007-04-16 00:00:00,NPCC,8:00 a.m.,New Hampshire,Severe Thunderstorms,-,102568,2007-04-16 19:00:00
17,2007-04-16 00:00:00,NPCC,10:14 a.m.,Southern and Coastal Maine,Heavy Snow Storm,-,127545,2007-04-18 22:18:00
18,2007-04-16 00:00:00,SERC,11:00 a.m.,North and South Carolina,HIgh Winds,-,33000,2007-04-16 19:00:00
19,2007-04-16 00:00:00,RFC,2:00 p.m.,Central Maryland - Baltimore City and surrounding Counties,Severe Thunderstorms,160,138000,2007-04-18 17:00:00
20,2007-04-16 00:00:00,SERC,2:04 p.m.,"North, East and Central Virginia/Parts of Northeast North Carolina",High Winds,90,242000,2007-04-16 19:03:00
