,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Tennessee,SERC,Severe Weather - Winter,Unknown,Unknown
1,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,Severe Weather - Winter,Unknown,Unknown
2,2015-01-22 00:00:00,04:24:00,2015-01-22 00:00:00,05:55:00,"Portland, Oregon",WECC,Vandalism,Unknown,Unknown
3,2015-01-26 00:00:00,14:39:00,2015-01-26 00:00:00,14:40:00,"Cave Junction, Oregon",WECC,Vandalism,Unknown,Unknown
4,2015-01-27 00:00:00,10:30:00,2015-01-27 00:00:00,10:31:00,"Kountze, Texas",SERC,Sabotage,0,0
5,2015-02-01 00:00:00,11:24:00,2015-02-01 00:00:00,11:44:00,"Weber County, Utah",WECC,Vandalism,Unknown,Unknown
6,2015-02-02 00:00:00,09:40:00,2015-02-02 00:00:00,09:41:00,"Conroe, Texas",TRE,Sabotage,Unknown,Unknown
7,2015-02-04 00:00:00,11:55:00,2015-02-04 00:00:00,11:56:00,"Vollmers, California",WECC,Vandalism,Unknown,Unknown
8,2015-02-05 00:00:00,08:15:00,2015-02-05 00:00:00,08:17:00,"Cameron, Arizona",WECC,Vandalism,Unknown,Unknown
9,2015-02-05 00:00:00,11:20:00,2015-02-05 00:00:00,11:21:00,"Dunismuir, California",WECC,Vandalism,Unknown,Unknown
10,2015-02-06 00:00:00,20:58:00,Unknown,Unknown,Northern California,WECC,Severe Weather - Wind,Unknown,65000
11,2015-02-09 00:00:00,11:30:00,2015-02-09 00:00:00,13:15:00,"Colorado Springs, Colorado",WECC,Sabotage,Unknown,Unknown
12,2015-02-16 00:00:00,21:41:00,2015-02-18 00:00:00,07:00:00,"Northern/North Eastern, Georgia",SERC,Severe Weather - Winter,620,186035
13,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,Severe Weather - Winter,Unknown,67189
14,2015-02-17 00:00:00,09:00:00,2015-02-18 00:00:00,23:00:00,"North Carolina, South Carolina",SERC,Severe Weather - Winter,Unknown,52000
15,2015-02-17 00:00:00,02:12:00,2015-02-18 00:00:00,16:00:00,"North Carolina, South Carolina",SERC,Severe Weather - Winter,Unknown,68000
16,2015-02-17 00:00:00,06:20:00,2015-02-17 00:00:00,07:30:00,"Prescott Valley, Arizona",WECC,Vandalism,Unknown,Unknown
17,2015-02-18 00:00:00,15:00:00,2015-02-20 00:00:00,09:00:00,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,Severe Weather - Winter,Unknown,Unknown
