,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
79,2023-03-05 00:00:00,11:53:00,03/06/2023,07:51:00,"West Virginia: Randolph County, Barbour County;",RF,Vandalism,0,0
80,2023-03-06 00:00:00,16:18:00,03/06/2023,17:30:00,Virginia: Orange County;,SERC,Actual Physical Attack/Vandalism,1,0
81,2023-03-07 00:00:00,11:00:00,03/07/2023,15:45:00,Texas: Lubbock County; New Mexico:,TRE,Vandalism,0,0
82,2023-03-07 00:00:00,10:26:00,03/07/2023,14:42:00,Texas: Lubbock County;,TRE,Vandalism,0,0
83,2023-03-08 00:00:00,00:02:00,Unknown,Unknown,Texas: Bee County;,TRE,Vandalism,0,0
84,2023-03-08 00:00:00,01:00:00,03/08/2023,02:00:00,Indiana: Hendricks County;,RF,Vandalism,0,0
85,2023-03-09 00:00:00,18:00:00,03/10/2023,18:00:00,"Wisconsin: Walworth County, Waukesha County, Milwaukee County, Racine County, Ozaukee County, Kenosha County;",MRO/RF,Severe Weather,250,100000
86,2023-03-10 00:00:00,04:48:00,03/10/2023,13:07:00,"Texas: Webb County, Hidalgo County;",TRE,System Operations,0,0
87,2023-03-10 00:00:00,08:00:00,03/10/2023,08:56:00,Idaho: Ada County;,WECC,Vandalism,0,0
88,2023-03-14 00:00:00,08:00:00,03/16/2023,08:20:00,Connecticut: Massachusetts: Vermont: Rhode Island: New Hampshire: Maine:,NPCC,Severe Weather,Unknown,83000
89,2023-03-14 00:00:00,09:25:00,03/15/2023,15:00:00,New York:,NPCC,Severe Weather,Unknown,Unknown
90,2023-03-16 00:00:00,10:34:00,03/16/2023,14:26:00,Texas: Lubbock County;,TRE,Suspicious Activity,0,0
91,2023-03-22 00:00:00,05:45:00,03/22/2023,05:46:00,Pennsylvania: Greene County;,RF,Suspicious Activity,621,0
92,2023-03-23 00:00:00,17:19:00,03/23/2023,18:06:00,Washington: King County;,WECC,Cyber Event,0,0
93,2023-03-23 00:00:00,11:37:00,03/23/2023,11:38:00,Texas: Tarrant County;,TRE,Vandalism,0,0
94,2023-03-23 00:00:00,00:39:00,03/23/2023,00:40:00,Nevada: Clark County;,WECC,Actual Physical Attack/Vandalism,24,11479
