,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2006-01-14 00:00:00,RFC,3:45 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds,--,142315,2006-01-16 17:30:00
1,2006-01-18 00:00:00,NPCC,3:16 p.m.,Southern and Central Maine,Severe Storm,75,63000,2006-01-18 18:34:00
2,2006-02-04 00:00:00,WECC,1:34 a.m.,"Snohomish County, Washington",Strong Winds,150,123827,2006-02-06 00:01:00
3,2006-02-04 00:00:00,WECC,4:30 a.m.,Western Washington,Severe Windstorm,--,140000,2006-02-08 08:00:00
4,2006-02-11 00:00:00,RFC,9:00 p.m.,Baltimore Metropolitan and Central Maryland,Major Snow Storm,500,180000,2006-02-14 23:00:00
5,2006-02-12 00:00:00,RFC,12:06 a.m.,"Washington DC, Montgomery and Prince Georges Counties MD",Major Snow Storm,300,60000,2006-02-14 17:44:00
6,2006-02-12 00:00:00,RFC,2:00 a.m.,Entire Atlantic City Electric territory Southern New Jersey,Winter Snow/Ice Storm,80,130000,2006-02-14 16:00:00
7,2006-02-12 00:00:00,RFC,2:00 a.m.,Entire Delmarva Power service territory,Winter Snow/Ice Storm,50,58000,2006-02-13 07:00:00
8,2006-02-12 00:00:00,RFC,5:55 a.m.,Northern and Northwestern Virginia,Severe Snow Storm,250,126000,2006-02-12 14:00:00
9,2006-02-16 00:00:00,RFC,12:00 p.m.,"Muskegon, Michigan easterly to Bay City, Michigan",Severe Thunderstorm/ Snow/Ice Storm,100,252089,2006-02-20 23:00:00
10,2006-02-16 00:00:00,MRO,Ongoing,North Dakota,Fuel Supply - Deficiency Coal Rail Transportation Interruption,1650,0,2006-02-16 00:00:00
11,2006-02-17 00:00:00,NPCC,4:32 a.m.,Upstate New York,Severe Weather,250,200000,2006-02-17 12:00:00
12,2006-02-18 00:00:00,WECC,8:50 a.m.,Colorado,Inadequate Electric Resources to Serve Load,428,-,2006-02-18 16:09:00
13,2006-02-27 00:00:00,WECC,6:25 p.m.,Northern and Central California,Severe Winter Storm,-,160000,2006-03-01 14:30:00
14,2006-03-09 00:00:00,SERC,2:00 p.m.,"Arkansas, Mississippi, Louisiana, Southeast Texas",Severe Weather,,73000,2006-03-09 22:00:00
15,2006-03-12 00:00:00,RFC,8:30 p.m.,"Springfield, Illinois and vicinity",Severe Weather,200,65400,2006-03-14 12:00:00
16,2006-04-02 00:00:00,RFC,9:00 p.m.,Southern half of Indiana,Major Storms/Tornadoes,1000,186000,2006-04-05 04:25:00
17,2006-04-07 00:00:00,PR,8:43 a.m.,Island of Puerto Rico,Voltage Reduction/Load Shed,116,54700,2006-04-07 09:29:00
18,2006-04-08 00:00:00,SERC,4:00 a.m.,North and Central Alabama and Northern Georgia areas,Severe Weather/ Tornadoes,300,115589,2006-04-08 11:00:00
19,2006-04-17 00:00:00,ERCOT,3:25 p.m.,ERCOT Region of Texas,Load Shed/Declared EECP,1000,200000,2006-04-17 19:30:00
20,2006-04-17 00:00:00,ERCOT,4:10 p.m.,System-wide greater Houston metro area (and across ERCOT),Load Shed/Made Public Appeals/Rolling Blackouts,260,68000,2006-04-17 18:11:00
21,2006-04-17 00:00:00,ERCOT,4:11 p.m.,North and East Texas,Load Shed/ Declared EECP,380,489478,2006-04-17 19:20:00
22,2006-04-17 00:00:00,ERCOT,4:20 p.m.,State of Texas (all of Austin Energy),Load Shed/Made Public Appeals/Rolling Blackouts,37- 40,"8,000 -10,000",2006-04-17 18:30:00
23,2006-04-17 00:00:00,ERCOT,4:35 p.m.,AEP Texas Central/Texas North,Load Shed/Declared EECP,108,51404,2006-04-17 18:10:00
24,2006-04-21 00:00:00,ERCOT,7:00 a.m.,System-wide greater Houston metro area,Severe Weather,219,82000,2006-04-21 10:00:00
25,2006-04-29 00:00:00,PR,2:55 p.m.,Island of Puerto Rico,Lightning Storm,237,164105,2006-04-29 15:45:00
26,2006-05-03 00:00:00,WECC,3:30 p.m.,City of Bakersfield area,Transmission Equipment Failure/Fire,300,55655,2006-05-03 21:35:00
27,2006-05-04 00:00:00,PR,2:12 p.m.,Island of Puerto Rico,Load Shed,140,94639,2006-05-04 14:45:00
28,2006-05-19 00:00:00,WECC,3:13 p.m.,"San Francisco Bay area, California",Lightning Strike,133,-,2006-05-19 22:30:00
29,2006-05-25 00:00:00,RFC,7:50 p.m.,"Southwest Ohio, Northern Kentucky, Central Indiana",Severe Weather,800,210000,2006-05-27 09:00:00
30,2006-06-01 00:00:00,HECO,2:12 p.m.,Island of Oahu,Load Shed,120,29300,2006-06-01 18:09:00
31,2006-06-01 00:00:00,RFC,6:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Weather,,111555,2006-06-03 09:00:00
32,2006-06-01 00:00:00,RFC,6:30 p.m.,Central Maryland,Severe Thunderstorms,335,70000,2006-06-03 14:00:00
33,2006-06-11 00:00:00,SERC,6:00 p.m.,"Charlotte, North Carolina Metropolitan area",Severe Thunderstorm,70,72000,2006-06-11 21:00:00
34,2006-06-22 00:00:00,RFC,2:00 p.m.,Ohio and Indiana,Severe Thunderstorms,750,195000,2006-06-27 23:00:00
35,2006-07-02 00:00:00,RFC,6:39 p.m.,Northern Virginia,Severe Thunderstorms,300,75000,2006-07-03 00:31:00
36,2006-07-04 00:00:00,SERC,5:30 p.m.,Northern Virginia,Severe Thunderstorms,335,67000,2006-07-04 20:18:00
37,2006-07-16 00:00:00,RFC,2:00 p.m.,Middle 1/3 of Michigan Lower Peninsula,Severe Lightning Storms,150,315000,2006-07-21 00:00:00
38,2006-07-17 00:00:00,NPCC,6:50 p.m.,"Northwest Queens, New York City",Severe Weather/Public Appeals Made/Voltage Reduction,,25000,2006-07-25 03:06:00
39,2006-07-17 00:00:00,RFC,9:00 p.m.,Northern Counties of Illinois,Severe Lightning Storms,,170519,2006-07-18 09:00:00
40,2006-07-18 00:00:00,RFC,6:36 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Lightning Storms,,492955,2006-07-23 23:59:00
41,2006-07-18 00:00:00,NPCC,8:07 p.m.,"Norwalk, Stamford, Connecticut",Lightning Storms/Tripped Lines,0,0,2006-07-18 22:32:00
42,2006-07-19 00:00:00,SERC,11:00 a.m.,"Greater Little Rock, Arkansas",Load Reduction/Public Appeals Made,40,8000,2006-07-19 17:54:00
43,2006-07-19 00:00:00,MRO,6:00 p.m.,Greater St. Louis Metropolitan area (Missouri and Illinois),Severe Storms (3) (Many customers experienced multiple outages.),1500,"700,000 (peak)  2,500,000 (actual)",2006-07-31 08:00:00
44,2006-07-22 00:00:00,WECC,1:09 p.m.,California,Widespread Heat Wave/Public Appeals Made,200,1271893,2006-07-27 16:00:00
45,2006-07-24 00:00:00,WECC,2:33 p.m.,California,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,414,Interruptible Tarriff 1-6 customers,2006-07-24 17:33:00
46,2006-07-24 00:00:00,WECC,2:33 p.m.,California,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,695,,2006-07-24 17:33:00
47,2006-07-27 00:00:00,RFC,6:38 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Thunderstorms,,167564,2006-07-29 21:36:00
48,2006-08-01 00:00:00,RFC,12:00 p.m.,Northern Ohio,Made Public Appeals/Heat Wave,,,2006-08-01 19:00:00
49,2006-08-01 00:00:00,RFC,1:00 p.m.,"Ohio, Indiana, Kentucky",Made Public Appeals,90,,2006-08-01 20:30:00
