,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2008-01-04 00:00:00,WECC,4:00 a.m.,Northern California,Winter Storm,500,2606931,2008-01-14 17:00:00
1,2008-01-04 00:00:00,WECC,7:47 a.m.,Sacramento County,Severe Storm,300,150000,2008-01-04 16:30:00
2,2008-01-29 00:00:00,WECC,5:00 a.m.,"San Francisco Bay Area, California",Exciter Faulted,,-,2008-01-29 12:17:00
3,2008-01-29 00:00:00,SERC,4:00 p.m.,"Arkansas, Mississippi, North Louisiana",Severe Thunderstorms,,110000,2008-02-03 08:00:00
4,2008-01-29 00:00:00,RFC,10:00 p.m.,Southeastern Michigan,Wind/Ice Storm,,86915,2008-02-01 18:30:00
5,2008-01-29 00:00:00,RFC,11:23 p.m.,"South Metropolitan Areas of Dayton, OHio",High Winds,380,45000,2008-01-30 00:48:00
6,2008-01-30 00:00:00,NPCC,3:06 a.m.,"Western, New York",High Winds,50,54316,2008-02-01 14:50:00
7,2008-02-01 00:00:00,WECC,6:00 a.m.,"San Francisco Bay Area, California",Equipment Faulted,,-,2008-02-01 07:49:00
8,2008-02-02 00:00:00,WECC,3:58 a.m.,"San Francisco Bay Area, California",Equipment Faulted,,-,2008-02-02 16:27:00
9,2008-02-05 00:00:00,SERC,10:00 p.m.,State of Kentucky,Severe Weather,,76000,2008-02-06 03:00:00
10,2008-02-06 00:00:00,SERC,9:00 a.m.,Mid to West Tennessee,Severe Weather,,57000,2008-02-06 11:00:00
11,2008-02-09 00:00:00,WECC,11:59 a.m.,"Near Arnold, California",Electrical System Separation,0,0,2008-02-09 15:33:00
12,2008-02-10 00:00:00,RFC,4:00 a.m.,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",Severe Weather,412,100969,2008-02-12 20:43:00
13,2008-02-10 00:00:00,RFC,11:00 a.m.,"Virginia, West Virginia, Ohio, Pennsylvania",High Winds,,212560,2008-02-10 23:36:00
14,2008-02-10 00:00:00,RFC,11:00 a.m.,Virginia and West Virginia Area of AEP,High Winds,,97342,2008-02-14 17:05:00
15,2008-02-10 00:00:00,SERC,2:06 p.m.,Dominion Service Territory,High Winds,170,114618,2008-02-10 23:36:00
16,2008-02-10 00:00:00,SERC,6:02 p.m.,"Greenboro, North Carolina and I-40 Corridor",High Winds,300,50718,2008-02-11 04:00:00
17,2008-02-12 00:00:00,SERC,3:00 p.m.,"Arkansas, Mississippi, Louisiana",Severe Weather,,54000,2008-02-15 17:00:00
18,2008-02-13 00:00:00,NPCC,6:43 p.m.,State of Maine,Ice Storm,50,50462,2008-02-14 12:00:00
19,2008-02-14 00:00:00,WECC,8:15 a.m.,Utah,Load Shedding,2818,74031,2008-02-14 10:46:00
20,2008-02-15 00:00:00,WECC,3:06 p.m.,"Antioch, California",Electrical System Separation,10,10008,2008-02-15 19:36:00
21,2008-02-25 00:00:00,RFC,8:00 a.m.,Restricted Coal Capability,Fuel Supply Deficiency,,0,2008-03-12 08:00:00
22,2008-02-26 00:00:00,SERC,5:00 a.m.,Southern Service Area/Alabama and Georgia,Thunderstorms,484,145380,2008-02-26 15:00:00
23,2008-02-26 00:00:00,FRCC,1:09 p.m.,Various Cities in Florida,Under Frequency/Load Shedding,140,47661,2008-02-26 14:10:00
24,2008-02-26 00:00:00,FRCC,1:09 p.m.,Tampa Electric Service Territory,Under Frequency/Load Shedding,318,53965,2008-02-26 14:40:00
25,2008-02-26 00:00:00,FRCC,1:09 p.m.,Primary Dade County Florida,Transmission Equipment Failure,3200,584384,2008-02-26 16:11:00
26,2008-02-26 00:00:00,FRCC,1:09 p.m.,FRCC Region-West Coast Florida,Shed Firm Load,120,56000,2008-02-26 13:47:00
