,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2013-01-07 00:00:00,10:43:00,2013-01-07 00:00:00,10:43:00,"Denton, Maryland",RFC,Physcial Attack; Vandalism,Unknown,Unknown
1,2013-01-16 00:00:00,14:25:00,2013-01-16 00:00:00,14:25:00,"Denton, Maryland",RFC,Physcial Attack; Vandalism,Unknown,Unknown
2,2013-01-16 00:00:00,16:45:00,2013-01-16 00:00:00,19:26:00,"San Juan County, New Mexico",WECC,Suspected Physical Attack,0,0
3,2013-01-16 00:00:00,07:41:00,2013-01-17 00:00:00,10:58:00,"Webster County, Iowa",MRO,Physical Attack,,
4,2013-01-17 00:00:00,18:07:00,2013-01-20 00:00:00,19:30:00,"Southwest Virginia, Southern West Virginia",RFC,Severe Weather - Winter Storm,Unknown,127000
5,2013-01-17 00:00:00,19:02:00,2013-01-19 00:00:00,18:00:00,Northeast Tennessee,SERC,Severe Weather - Winter Storm,Unknown,80000
6,2013-01-17 00:00:00,20:35:00,2013-01-17 00:00:00,21:20:00,"Elizabeth City, North Carolina",SERC,Distribution Interruption,40,12000
7,2013-01-20 00:00:00,03:30:00,2013-01-23 00:00:00,06:15:00,Southeastern Michigan,RFC,Severe Weather - Wind Storm,Unknown,146500
8,2013-01-28 00:00:00,16:46:00,2013-01-28 00:00:00,18:00:00,"Tacoma Narrows Crossing, Washington",WECC,Physical Attack,Unknown,Unknown
9,2013-01-31 00:00:00,03:05:00,2013-01-31 00:00:00,04:48:00,Central and Eastern Virginia,SERC,Severe Weather - Wind Storm,188,119000
10,2013-01-31 00:00:00,06:30:00,2013-01-31 00:00:00,10:00:00,Connecticut,NPCC,Severe Weather - Wind Storm,75,75000
11,2013-02-02 00:00:00,21:15:00,2013-02-02 00:00:00,22:15:00,"El Paso, New Mexico",WECC,Vandalism,,
12,2013-02-07 00:00:00,08:32:00,2013-02-07 00:00:00,09:47:00,"Cincinnati, Ohio",RFC,Vandalism,Unknown,0
13,2013-02-08 00:00:00,11:38:00,2013-02-08 00:00:00,14:17:00,District of Columbia; Prince George's County Maryland,RFC,Equipment Trip & Failure,140,52000
14,2013-02-08 00:00:00,20:00:00,2013-02-11 00:00:00,20:30:00,Central and eastern Massachusetts; Rhode Island,NPCC,Severe Weather - Winter Storm Nemo,,50000
15,2013-02-08 00:00:00,20:55:00,2013-02-12 00:00:00,04:00:00,Boston area and Southeast Massachusetts,NPCC,Severe Weather - Winter Storm Nemo,Unknown,50000
16,2013-02-09 00:00:00,08:30:00,2013-02-09 00:00:00,15:00:00,"El Paso, New Mexico",WECC,Vandalism; Equipment Fault,Unknown,Unknown
17,2013-02-10 00:00:00,19:46:00,2013-02-10 00:00:00,20:15:00,Puerto Rico,,Generator Trip; Voltage Reduction,350,Unknown
18,2013-02-13 00:00:00,09:30:00,2013-02-13 00:00:00,09:30:00,"Fort Washington, Maryland",RFC,Vandalism,1,1
19,2013-02-13 00:00:00,17:39:00,2013-02-15 00:00:00,17:50:00,Eastern Massachusetts,NPCC,Fuel Supply Emergency - Petroleum,1,1
20,2013-02-15 00:00:00,00:00:00,2013-02-15 00:00:00,00:01:00,"Tuxedo, Maryland",RFC,Vandalism,,
21,2013-02-16 00:00:00,07:54:00,2013-02-16 00:00:00,07:54:00,Prince George's County Maryland,RFC,Vandalism,1,1
22,2013-02-19 00:00:00,16:01:00,2013-02-20 00:00:00,12:55:00,"Stockton, California",WECC,Electrical System Separation (Islanding),13850,6810
23,2013-02-21 00:00:00,11:00:00,2013-02-21 00:00:00,11:30:00,"Las Cruces, New Mexico",WECC,Vandalism,Unknown,Unknown
24,2013-02-26 00:00:00,13:00:00,2013-03-01 00:00:00,10:00:00,Northern Missouri,SERC,Severe Weather - Winter Storm Nemo,Unknown,56444
25,2013-03-03 00:00:00,06:39:00,2013-03-03 00:00:00,10:29:00,"Merced County, California",WECC,Transmission System Interruption,300,58850
26,2013-03-03 00:00:00,16:27:00,2013-03-03 00:00:00,18:20:00,"Tacoma Park, Maryland",RFC,Vandalism,Unknown,Unknown
27,2013-03-04 00:00:00,09:49:00,2013-03-04 00:00:00,22:00:00,Metropolitan area Puerto Rico,,Equipment Failure; Transmission System Interruption,Unknown,Unknown
28,2013-03-06 00:00:00,08:22:00,2013-03-07 00:00:00,10:27:00,Northwest Virginia,SERC,Severe Weather - Winter Storm,400,233000
29,2013-03-18 00:00:00,05:21:00,2013-03-18 00:00:00,05:41:00,Systemwide Puerto Rico,,Generator Trip; Load Shed,350,262937
30,2013-03-18 00:00:00,17:50:00,2013-03-18 00:00:00,18:07:00,Northeast Florida,FRCC,Suspected Physical Attack,0,0
31,2013-03-18 00:00:00,19:30:00,2013-03-20 00:00:00,14:30:00,North/Central Alabama; Georgia,SERC,Severe Weather - Thunderstorms,800,240000
32,2013-03-23 00:00:00,07:00:00,2013-03-23 00:00:00,09:00:00,Connecticut,NPCC,Vandalism,Unknown,Unknown
33,2013-03-27 00:00:00,10:25:00,2013-03-27 00:00:00,12:19:00,Western Massachusetts,NPCC,Physical Attack; Vandalism,Unknown,Unknown
34,2013-03-28 00:00:00,13:01:00,2013-03-28 00:00:00,13:02:00,"Wilmington, Delaware",RFC,Vandalism,Unknown,Unknown
35,2013-03-29 00:00:00,10:16:00,2013-03-29 00:00:00,10:17:00,Maryland,RFC,Suspected Physical Attack,Unknown,Unknown
36,2013-04-01 00:00:00,08:40:00,2013-04-01 00:00:00,08:41:00,Connecticut,NPCC,Vandalism - Copper Wire Theft,Unknown,Unknown
37,2013-04-03 00:00:00,11:05:00,2013-04-03 00:00:00,14:00:00,"Colorado Springs, Colorado",WECC,Sabotage; Vandalism,0,0
38,2013-04-09 00:00:00,11:30:00,2013-04-09 00:00:00,11:31:00,"Delaware City, Delaware",RFC,Vandalism,,
39,2013-04-16 00:00:00,01:47:00,2013-04-18 00:00:00,15:25:00,California,WECC,"Loss of Part of a High Voltage Substation, Physical Attack",,0
